size;algo;time
10;rechercher;9.059906005859375e-06
10;contains;6.198883056640625e-06
10;rechercher;6.4373016357421875e-06
10;contains;4.5299530029296875e-06
10;rechercher;6.4373016357421875e-06
10;contains;2.86102294921875e-06
10;rechercher;6.198883056640625e-06
10;contains;1.9073486328125e-06
10;rechercher;6.198883056640625e-06
10;contains;2.6226043701171875e-06
10;rechercher;4.76837158203125e-06
10;contains;2.86102294921875e-06
10;rechercher;2.384185791015625e-06
10;contains;2.6226043701171875e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.1457672119140625e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.384185791015625e-06
10;rechercher;3.5762786865234375e-06
10;contains;1.6689300537109375e-06
10;rechercher;3.5762786865234375e-06
10;contains;1.9073486328125e-06
10;rechercher;3.5762786865234375e-06
10;contains;1.9073486328125e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.86102294921875e-06
10;rechercher;3.5762786865234375e-06
10;contains;1.6689300537109375e-06
10;rechercher;3.5762786865234375e-06
10;contains;1.9073486328125e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.1457672119140625e-06
10;rechercher;3.337860107421875e-06
10;contains;1.6689300537109375e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.1457672119140625e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.384185791015625e-06
10;rechercher;3.337860107421875e-06
10;contains;3.0994415283203125e-06
10;rechercher;3.337860107421875e-06
10;contains;1.430511474609375e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.6226043701171875e-06
10;rechercher;9.5367431640625e-07
10;contains;9.5367431640625e-07
10;rechercher;1.9073486328125e-06
10;contains;2.1457672119140625e-06
10;rechercher;3.337860107421875e-06
10;contains;2.384185791015625e-06
10;rechercher;3.337860107421875e-06
10;contains;3.814697265625e-06
10;rechercher;3.337860107421875e-06
10;contains;2.1457672119140625e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.6226043701171875e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.384185791015625e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.6226043701171875e-06
10;rechercher;3.337860107421875e-06
10;contains;1.1920928955078125e-06
10;rechercher;3.5762786865234375e-06
10;contains;1.6689300537109375e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.384185791015625e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.384185791015625e-06
10;rechercher;3.337860107421875e-06
10;contains;1.9073486328125e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.1457672119140625e-06
10;rechercher;3.5762786865234375e-06
10;contains;3.0994415283203125e-06
10;rechercher;3.5762786865234375e-06
10;contains;3.0994415283203125e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.384185791015625e-06
10;rechercher;3.337860107421875e-06
10;contains;2.6226043701171875e-06
10;rechercher;3.5762786865234375e-06
10;contains;3.0994415283203125e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.86102294921875e-06
10;rechercher;3.337860107421875e-06
10;contains;1.430511474609375e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.384185791015625e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.86102294921875e-06
10;rechercher;3.5762786865234375e-06
10;contains;1.6689300537109375e-06
10;rechercher;3.5762786865234375e-06
10;contains;1.9073486328125e-06
10;rechercher;3.337860107421875e-06
10;contains;2.6226043701171875e-06
10;rechercher;3.337860107421875e-06
10;contains;2.86102294921875e-06
10;rechercher;3.0994415283203125e-06
10;contains;3.0994415283203125e-06
10;rechercher;3.337860107421875e-06
10;contains;9.5367431640625e-07
10;rechercher;2.6226043701171875e-06
10;contains;2.1457672119140625e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.1457672119140625e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.384185791015625e-06
10;rechercher;6.9141387939453125e-06
10;contains;3.0994415283203125e-06
10;rechercher;2.384185791015625e-06
10;contains;2.1457672119140625e-06
10;rechercher;3.5762786865234375e-06
10;contains;1.430511474609375e-06
10;rechercher;3.5762786865234375e-06
10;contains;1.9073486328125e-06
10;rechercher;3.5762786865234375e-06
10;contains;1.430511474609375e-06
10;rechercher;1.430511474609375e-06
10;contains;1.6689300537109375e-06
10;rechercher;2.1457672119140625e-06
10;contains;1.430511474609375e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.86102294921875e-06
10;rechercher;3.337860107421875e-06
10;contains;1.9073486328125e-06
10;rechercher;6.9141387939453125e-06
10;contains;2.384185791015625e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.86102294921875e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.6226043701171875e-06
10;rechercher;3.5762786865234375e-06
10;contains;3.337860107421875e-06
10;rechercher;1.9073486328125e-06
10;contains;2.1457672119140625e-06
10;rechercher;1.430511474609375e-06
10;contains;9.5367431640625e-07
10;rechercher;3.5762786865234375e-06
10;contains;1.9073486328125e-06
10;rechercher;3.0994415283203125e-06
10;contains;1.430511474609375e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.384185791015625e-06
10;rechercher;3.337860107421875e-06
10;contains;2.384185791015625e-06
10;rechercher;3.0994415283203125e-06
10;contains;2.6226043701171875e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.1457672119140625e-06
10;rechercher;3.337860107421875e-06
10;contains;1.6689300537109375e-06
10;rechercher;3.5762786865234375e-06
10;contains;1.9073486328125e-06
10;rechercher;3.5762786865234375e-06
10;contains;3.337860107421875e-06
10;rechercher;3.5762786865234375e-06
10;contains;1.9073486328125e-06
10;rechercher;3.337860107421875e-06
10;contains;2.1457672119140625e-06
10;rechercher;3.337860107421875e-06
10;contains;2.384185791015625e-06
10;rechercher;7.62939453125e-06
10;contains;2.384185791015625e-06
10;rechercher;3.337860107421875e-06
10;contains;2.6226043701171875e-06
10;rechercher;3.337860107421875e-06
10;contains;2.1457672119140625e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.86102294921875e-06
10;rechercher;3.337860107421875e-06
10;contains;2.86102294921875e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.6226043701171875e-06
10;rechercher;3.337860107421875e-06
10;contains;2.384185791015625e-06
10;rechercher;3.337860107421875e-06
10;contains;2.384185791015625e-06
10;rechercher;3.5762786865234375e-06
10;contains;1.6689300537109375e-06
10;rechercher;3.337860107421875e-06
10;contains;1.9073486328125e-06
10;rechercher;3.5762786865234375e-06
10;contains;1.9073486328125e-06
10;rechercher;3.337860107421875e-06
10;contains;1.6689300537109375e-06
10;rechercher;4.291534423828125e-06
10;contains;1.9073486328125e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.6226043701171875e-06
10;rechercher;2.86102294921875e-06
10;contains;2.1457672119140625e-06
10;rechercher;1.6689300537109375e-06
10;contains;1.1920928955078125e-06
10;rechercher;3.5762786865234375e-06
10;contains;2.1457672119140625e-06
10;rechercher;2.384185791015625e-06
10;contains;1.9073486328125e-06
10;rechercher;3.337860107421875e-06
10;contains;1.9073486328125e-06
100;rechercher;2.7894973754882812e-05
100;contains;4.76837158203125e-06
100;rechercher;2.8133392333984375e-05
100;contains;3.337860107421875e-06
100;rechercher;2.8133392333984375e-05
100;contains;4.5299530029296875e-06
100;rechercher;2.7894973754882812e-05
100;contains;5.9604644775390625e-06
100;rechercher;2.8133392333984375e-05
100;contains;5.0067901611328125e-06
100;rechercher;2.2172927856445312e-05
100;contains;4.0531158447265625e-06
100;rechercher;2.765655517578125e-05
100;contains;2.1457672119140625e-06
100;rechercher;1.0251998901367188e-05
100;contains;2.384185791015625e-06
100;rechercher;1.2159347534179688e-05
100;contains;3.337860107421875e-06
100;rechercher;1.1682510375976562e-05
100;contains;2.384185791015625e-06
100;rechercher;1.1444091796875e-05
100;contains;4.291534423828125e-06
100;rechercher;1.1682510375976562e-05
100;contains;3.0994415283203125e-06
100;rechercher;1.1682510375976562e-05
100;contains;2.384185791015625e-06
100;rechercher;1.1920928955078125e-05
100;contains;1.9073486328125e-06
100;rechercher;1.0967254638671875e-05
100;contains;3.0994415283203125e-06
100;rechercher;1.1682510375976562e-05
100;contains;2.384185791015625e-06
100;rechercher;1.2874603271484375e-05
100;contains;3.337860107421875e-06
100;rechercher;1.1682510375976562e-05
100;contains;3.337860107421875e-06
100;rechercher;1.1444091796875e-05
100;contains;3.337860107421875e-06
100;rechercher;1.239776611328125e-05
100;contains;2.6226043701171875e-06
100;rechercher;1.0251998901367188e-05
100;contains;3.337860107421875e-06
100;rechercher;1.049041748046875e-05
100;contains;2.384185791015625e-06
100;rechercher;1.239776611328125e-05
100;contains;2.86102294921875e-06
100;rechercher;1.1920928955078125e-05
100;contains;3.0994415283203125e-06
100;rechercher;1.1920928955078125e-05
100;contains;3.0994415283203125e-06
100;rechercher;1.2874603271484375e-05
100;contains;3.5762786865234375e-06
100;rechercher;1.0967254638671875e-05
100;contains;2.384185791015625e-06
100;rechercher;1.2636184692382812e-05
100;contains;2.1457672119140625e-06
100;rechercher;5.0067901611328125e-06
100;contains;2.1457672119140625e-06
100;rechercher;9.5367431640625e-06
100;contains;2.6226043701171875e-06
100;rechercher;1.2159347534179688e-05
100;contains;5.0067901611328125e-06
100;rechercher;1.33514404296875e-05
100;contains;2.86102294921875e-06
100;rechercher;1.239776611328125e-05
100;contains;3.337860107421875e-06
100;rechercher;1.3113021850585938e-05
100;contains;3.0994415283203125e-06
100;rechercher;1.0967254638671875e-05
100;contains;5.245208740234375e-06
100;rechercher;1.33514404296875e-05
100;contains;3.337860107421875e-06
100;rechercher;1.239776611328125e-05
100;contains;2.384185791015625e-06
100;rechercher;1.2159347534179688e-05
100;contains;4.5299530029296875e-06
100;rechercher;1.2874603271484375e-05
100;contains;3.814697265625e-06
100;rechercher;1.0967254638671875e-05
100;contains;2.86102294921875e-06
100;rechercher;1.239776611328125e-05
100;contains;2.6226043701171875e-06
100;rechercher;1.1682510375976562e-05
100;contains;3.5762786865234375e-06
100;rechercher;1.2159347534179688e-05
100;contains;2.6226043701171875e-06
100;rechercher;1.2874603271484375e-05
100;contains;2.6226043701171875e-06
100;rechercher;1.2636184692382812e-05
100;contains;3.0994415283203125e-06
100;rechercher;1.239776611328125e-05
100;contains;3.5762786865234375e-06
100;rechercher;1.1682510375976562e-05
100;contains;2.6226043701171875e-06
100;rechercher;1.1920928955078125e-05
100;contains;3.0994415283203125e-06
100;rechercher;1.1682510375976562e-05
100;contains;3.337860107421875e-06
100;rechercher;1.049041748046875e-05
100;contains;3.337860107421875e-06
100;rechercher;1.2874603271484375e-05
100;contains;2.1457672119140625e-06
100;rechercher;1.1920928955078125e-05
100;contains;2.6226043701171875e-06
100;rechercher;1.2159347534179688e-05
100;contains;4.291534423828125e-06
100;rechercher;1.2874603271484375e-05
100;contains;3.337860107421875e-06
100;rechercher;1.1444091796875e-05
100;contains;2.1457672119140625e-06
100;rechercher;1.239776611328125e-05
100;contains;2.1457672119140625e-06
100;rechercher;1.1920928955078125e-05
100;contains;1.9073486328125e-06
100;rechercher;1.2159347534179688e-05
100;contains;1.9073486328125e-06
100;rechercher;1.1682510375976562e-05
100;contains;2.384185791015625e-06
100;rechercher;1.1444091796875e-05
100;contains;2.384185791015625e-06
100;rechercher;1.3589859008789062e-05
100;contains;2.86102294921875e-06
100;rechercher;1.2159347534179688e-05
100;contains;3.5762786865234375e-06
100;rechercher;1.0013580322265625e-05
100;contains;1.6689300537109375e-06
100;rechercher;8.58306884765625e-06
100;contains;2.6226043701171875e-06
100;rechercher;1.2636184692382812e-05
100;contains;3.0994415283203125e-06
100;rechercher;1.1682510375976562e-05
100;contains;3.5762786865234375e-06
100;rechercher;1.0013580322265625e-05
100;contains;3.0994415283203125e-06
100;rechercher;1.239776611328125e-05
100;contains;2.1457672119140625e-06
100;rechercher;1.2159347534179688e-05
100;contains;2.384185791015625e-06
100;rechercher;1.239776611328125e-05
100;contains;2.6226043701171875e-06
100;rechercher;1.239776611328125e-05
100;contains;2.1457672119140625e-06
100;rechercher;1.1682510375976562e-05
100;contains;2.6226043701171875e-06
100;rechercher;1.2159347534179688e-05
100;contains;3.814697265625e-06
100;rechercher;1.1205673217773438e-05
100;contains;2.384185791015625e-06
100;rechercher;9.298324584960938e-06
100;contains;2.1457672119140625e-06
100;rechercher;1.239776611328125e-05
100;contains;2.1457672119140625e-06
100;rechercher;1.239776611328125e-05
100;contains;2.384185791015625e-06
100;rechercher;1.1920928955078125e-05
100;contains;1.9073486328125e-06
100;rechercher;1.1444091796875e-05
100;contains;1.9073486328125e-06
100;rechercher;1.52587890625e-05
100;contains;3.337860107421875e-06
100;rechercher;1.1920928955078125e-05
100;contains;3.0994415283203125e-06
100;rechercher;4.696846008300781e-05
100;contains;3.0994415283203125e-06
100;rechercher;1.1682510375976562e-05
100;contains;3.337860107421875e-06
100;rechercher;1.1920928955078125e-05
100;contains;3.337860107421875e-06
100;rechercher;1.1682510375976562e-05
100;contains;2.6226043701171875e-06
100;rechercher;1.1444091796875e-05
100;contains;2.1457672119140625e-06
100;rechercher;1.1920928955078125e-05
100;contains;2.1457672119140625e-06
100;rechercher;1.1444091796875e-05
100;contains;4.0531158447265625e-06
100;rechercher;1.1920928955078125e-05
100;contains;1.9073486328125e-06
100;rechercher;1.1920928955078125e-05
100;contains;3.337860107421875e-06
100;rechercher;1.0967254638671875e-05
100;contains;1.9073486328125e-06
100;rechercher;1.239776611328125e-05
100;contains;2.1457672119140625e-06
100;rechercher;1.1444091796875e-05
100;contains;3.0994415283203125e-06
100;rechercher;1.2159347534179688e-05
100;contains;2.6226043701171875e-06
100;rechercher;1.239776611328125e-05
100;contains;2.6226043701171875e-06
100;rechercher;1.1682510375976562e-05
100;contains;3.0994415283203125e-06
100;rechercher;1.2636184692382812e-05
100;contains;1.6689300537109375e-06
100;rechercher;1.2159347534179688e-05
100;contains;5.4836273193359375e-06
100;rechercher;4.76837158203125e-06
100;contains;2.86102294921875e-06
100;rechercher;1.0013580322265625e-05
100;contains;3.814697265625e-06
1000;rechercher;0.00016951560974121094
1000;contains;9.059906005859375e-06
1000;rechercher;0.0003209114074707031
1000;contains;1.3589859008789062e-05
1000;rechercher;0.0003178119659423828
1000;contains;1.33514404296875e-05
1000;rechercher;0.00019979476928710938
1000;contains;1.2159347534179688e-05
1000;rechercher;0.0001220703125
1000;contains;1.2874603271484375e-05
1000;rechercher;0.00015687942504882812
1000;contains;1.0013580322265625e-05
1000;rechercher;0.00018644332885742188
1000;contains;1.3828277587890625e-05
1000;rechercher;0.00015854835510253906
1000;contains;1.049041748046875e-05
1000;rechercher;0.000156402587890625
