rank,country,alcohol_consumption_per_capita,date_of_information
1,Cook Islands,12.97,2019 est.
2,Latvia,12.9,2019 est.
3,Czechia,12.73,2019 est.
4,Lithuania,11.93,2019 est.
5,Austria,11.9,2019 est.
6,Antigua and Barbuda,11.88,2019 est.
7,Estonia,11.65,2019 est.
8,France,11.44,2019 est.
9,Bulgaria,11.18,2019 est.
10,Slovenia,11.05,2019 est.
11,Luxembourg,11,2019 est.
12,Andorra,10.99,2019 est.
13,Poland,10.96,2019 est.
14,Romania,10.96,2019 est.
15,Ireland,10.91,2019 est.
16,Hungary,10.79,2019 est.
17,Spain,10.72,2019 est.
18,Belarus,10.57,2019 est.
19,Germany,10.56,2019 est.
20,Portugal,10.37,2019 est.
21,Slovakia,10.3,2019 est.
22,Barbados,9.94,2019 est.
23,Montenegro,9.91,2019 est.
24,United Kingdom,9.8,2019 est.
25,Croatia,9.64,2019 est.
26,Cyprus,9.59,2019 est.
27,Australia,9.51,2019 est.
28,Seychelles,9.48,2019 est.
29,"Bahamas, The",9.48,2019 est.
30,Switzerland,9.41,2019 est.
31,Saint Lucia,9.3,2019 est.
32,New Zealand,9.17,2019 est.
33,Denmark,9.16,2019 est.
34,Belgium,9.15,2019 est.
35,United States,8.93,2019 est.
36,Saint Kitts and Nevis,8.84,2019 est.
37,Grenada,8.62,2019 est.
38,Niue,8.5,2019 est.
39,Japan,8.36,2019 est.
40,Netherlands,8.23,2019 est.
41,Finland,8.23,2019 est.
42,Laos,8.15,2019 est.
43,Malta,8.07,2019 est.
44,Canada,8,2019 est.
45,Argentina,7.95,2019 est.
46,Tanzania,7.81,2019 est.
47,Chile,7.8,2019 est.
48,"Korea, South",7.74,2019 est.
49,Iceland,7.72,2019 est.
50,Eswatini,7.68,2019 est.
51,Italy,7.65,2019 est.
52,Saint Vincent and the Grenadines,7.48,2019 est.
53,Georgia,7.45,2019 est.
54,Moldova,7.45,2019 est.
55,Serbia,7.45,2019 est.
56,Russia,7.29,2019 est.
