rank,country,birth_rate,date_of_information
1,Niger,46.6,2024 est.
2,Angola,41.1,2024 est.
3,Benin,40.3,2024 est.
4,Mali,40,2024 est.
5,Uganda,39.6,2024 est.
6,"Congo, Democratic Republic of the",39.2,2024 est.
7,Chad,39.2,2024 est.
8,Somalia,37.4,2024 est.
9,Mozambique,36.5,2024 est.
10,South Sudan,36.4,2024 est.
11,Guinea-Bissau,36,2024 est.
12,Guinea,35.3,2024 est.
13,Cameroon,34.7,2024 est.
14,Burundi,34.6,2024 est.
15,Afghanistan,34.2,2024 est.
16,Zambia,34.1,2024 est.
17,Nigeria,33.8,2024 est.
18,Sudan,33.1,2024 est.
19,Tanzania,32.5,2024 est.
20,Liberia,32.4,2024 est.
21,Central African Republic,31.9,2024 est.
22,Burkina Faso,31.9,2024 est.
23,Togo,30.9,2024 est.
24,Sierra Leone,30.8,2024 est.
25,Senegal,30.2,2024 est.
26,Timor-Leste,29.7,2024 est.
27,Ethiopia,29.6,2024 est.
28,Equatorial Guinea,29,2024 est.
29,Zimbabwe,28.8,2024 est.
30,"Congo, Republic of the",28.7,2024 est.
31,Papua New Guinea,28.1,2024 est.
32,West Bank,27.8,2024 est.
33,Ghana,27.6,2024 est.
34,Madagascar,27.6,2024 est.
35,Cote d'Ivoire,27.5,2024 est.
36,"Gambia, The",27.3,2024 est.
37,Mauritania,27.2,2024 est.
38,Gaza Strip,26.8,2024 est.
39,Sao Tome and Principe,26.7,2024 est.
40,Malawi,26.6,2024 est.
41,Eritrea,26.3,2024 est.
42,Tajikistan,25.8,2024 est.
43,Gabon,25.7,2024 est.
44,Kenya,25.6,2024 est.
45,Pakistan,25.5,2024 est.
46,Rwanda,25,2024 est.
47,Namibia,24.3,2024 est.
48,Iraq,23.7,2024 est.
49,Yemen,23.4,2024 est.
50,Lesotho,22.9,2024 est.
51,Eswatini,22.3,2024 est.
52,Jordan,22.2,2024 est.
53,Philippines,22.1,2024 est.
54,Solomon Islands,22,2024 est.
55,Tuvalu,22,2024 est.
56,Djibouti,21.8,2024 est.
57,Syria,21.7,2024 est.
58,Comoros,21.6,2024 est.
59,Guatemala,21.4,2024 est.
60,Haiti,21.2,2024 est.
61,Marshall Islands,21.2,2024 est.
62,Oman,21.1,2024 est.
63,Vanuatu,20.8,2024 est.
64,Uzbekistan,20.5,2024 est.
65,Libya,20.3,2024 est.
66,Nauru,20.2,2024 est.
67,Algeria,20.2,2024 est.
68,Honduras,19.9,2024 est.
69,Laos,19.8,2024 est.
70,Kiribati,19.7,2024 est.
71,Tonga,19.7,2024 est.
72,Botswana,19.6,2024 est.
73,Egypt,19.5,2024 est.
74,Israel,19.1,2024 est.
75,Samoa,18.8,2024 est.
76,Kyrgyzstan,18.7,2024 est.
77,Cambodia,18.2,2024 est.
78,Guam,18.1,2024 est.
79,Cabo Verde,17.9,2024 est.
80,"Micronesia, Federated States of",17.8,2024 est.
81,Belize,17.7,2024 est.
82,South Africa,17.7,2024 est.
83,Ecuador,17.7,2024 est.
84,Bolivia,17.6,2024 est.
85,Kuwait,17.5,2024 est.
86,Panama,17.4,2024 est.
87,Dominican Republic,17.3,2024 est.
88,Bangladesh,17.3,2024 est.
89,Kazakhstan,17.2,2024 est.
90,El Salvador,17.1,2024 est.
91,Nepal,17,2024 est.
92,Morocco,16.8,2024 est.
93,Turkmenistan,16.8,2024 est.
94,Venezuela,16.7,2024 est.
95,Guyana,16.7,2024 est.
96,Peru,16.7,2024 est.
97,Nicaragua,16.4,2024 est.
98,India,16.2,2024 est.
99,Fiji,15.9,2024 est.
100,Paraguay,15.9,2024 est.
101,Brunei,15.8,2024 est.
102,American Samoa,15.7,2024 est.
103,Burma,15.7,2024 est.
104,Northern Mariana Islands,15.7,2024 est.
105,Jamaica,15.6,2024 est.
106,Bhutan,15.3,2024 est.
107,Argentina,15.2,2024 est.
108,Maldives,15.1,2024 est.
109,Mongolia,14.9,2024 est.
110,Suriname,14.9,2024 est.
111,Vietnam,14.9,2024 est.
112,Colombia,14.9,2024 est.
113,Antigua and Barbuda,14.9,2024 est.
114,Faroe Islands,14.9,2024 est.
115,Indonesia,14.8,2024 est.
116,Sri Lanka,14.5,2024 est.
117,Kosovo,14.4,2024 est.
118,Mexico,14.3,2024 est.
119,Iran,14.3,2024 est.
120,Malaysia,14.2,2024 est.
121,Saint Martin,13.9,2024 est.
122,Turkey (Turkiye),13.8,2024 est.
123,New Caledonia,13.8,2024 est.
124,Gibraltar,13.7,2024 est.
125,Saudi Arabia,13.6,2024 est.
126,Greenland,13.5,2024 est.
127,Tunisia,13.5,2024 est.
128,Grenada,13.3,2024 est.
129,Dominica,13.3,2024 est.
130,"Korea, North",13.2,2024 est.
131,Brazil,13.2,2024 est.
132,"Bahamas, The",13.1,2024 est.
133,Turks and Caicos Islands,13,2024 est.
134,French Polynesia,13,2024 est.
135,Curacao,12.9,2024 est.
136,Uruguay,12.6,2024 est.
137,New Zealand,12.6,2024 est.
138,Iceland,12.6,2024 est.
139,Lebanon,12.6,2024 est.
140,Chile,12.4,2024 est.
141,Albania,12.3,2024 est.
142,Australia,12.2,2024 est.
143,Jersey,12.2,2024 est.
144,Sint Maarten,12.2,2024 est.
145,United States,12.2,2024 est.
146,Bahrain,12.2,2024 est.
147,Cook Islands,12.1,2024 est.
148,Georgia,12,2024 est.
149,Montserrat,11.9,2024 est.
150,Saint Vincent and the Grenadines,11.9,2024 est.
151,Wallis and Futuna,11.8,2024 est.
152,Seychelles,11.8,2024 est.
153,Saint Kitts and Nevis,11.8,2024 est.
154,Anguilla,11.8,2024 est.
155,Luxembourg,11.6,2024 est.
156,Aruba,11.6,2024 est.
157,Palau,11.6,2024 est.
158,Cayman Islands,11.5,2024 est.
159,Saint Lucia,11.4,2024 est.
160,Denmark,11.3,2024 est.
161,Azerbaijan,11.2,2024 est.
162,Virgin Islands,11.1,2024 est.
163,Ireland,11.1,2024 est.
164,France,10.9,2024 est.
165,Montenegro,10.9,2024 est.
166,Falkland Islands (Islas Malvinas),10.9,2012 est.
167,Bermuda,10.9,2024 est.
168,British Virgin Islands,10.9,2024 est.
169,Belgium,10.8,2024 est.
170,United Kingdom,10.8,2024 est.
171,Costa Rica,10.8,2024 est.
172,Barbados,10.7,2024 est.
173,Sweden,10.7,2024 est.
174,United Arab Emirates,10.7,2024 est.
175,Netherlands,10.6,2024 est.
176,Trinidad and Tobago,10.5,2024 est.
177,Armenia,10.5,2024 est.
178,Isle of Man,10.4,2024 est.
179,Norway,10.4,2024 est.
180,Liechtenstein,10.3,2024 est.
181,North Macedonia,10.2,2024 est.
182,Cyprus,10.2,2024 est.
183,China,10.2,2024 est.
184,Finland,10.2,2024 est.
185,Switzerland,10.1,2024 est.
186,Canada,10,2024 est.
187,Slovakia,10,2024 est.
188,Cuba,9.9,2024 est.
189,Thailand,9.9,2024 est.
190,Czechia,9.8,2024 est.
191,Mauritius,9.8,2024 est.
192,Guernsey,9.7,2024 est.
193,Malta,9.4,2024 est.
194,Austria,9.3,2024 est.
195,Saint Barthelemy,9.3,2024 est.
196,"Saint Helena, Ascension, and Tristan da Cunha",9.3,2024 est.
197,Qatar,9.2,2024 est.
198,Hungary,9.1,2024 est.
199,San Marino,9,2024 est.
200,Germany,8.9,2024 est.
201,Lithuania,8.9,2024 est.
202,Serbia,8.8,2024 est.
203,Singapore,8.8,2024 est.
204,Macau,8.6,2024 est.
205,Croatia,8.5,2024 est.
206,Romania,8.5,2024 est.
207,Poland,8.4,2024 est.
208,Moldova,8.4,2024 est.
209,Russia,8.4,2024 est.
210,Belarus,8.3,2024 est.
211,Latvia,8.3,2024 est.
212,Estonia,8.2,2024 est.
213,Bosnia and Herzegovina,8.2,2024 est.
214,Portugal,8,2024 est.
215,Slovenia,8,2024 est.
216,Bulgaria,7.9,2024 est.
217,Puerto Rico,7.8,2024 est.
218,Hong Kong,7.6,2024 est.
219,Greece,7.4,2024 est.
220,Taiwan,7.3,2024 est.
221,Spain,7.1,2024 est.
222,Italy,7.1,2024 est.
223,"Korea, South",7,2024 est.
224,Andorra,6.9,2024 est.
225,Japan,6.9,2024 est.
226,Monaco,6.5,2024 est.
227,Saint Pierre and Miquelon,6.4,2024 est.
228,Ukraine,6,2024 est.
