rank,country,broadband_fixed_subscriptions,date_of_information
1,China,483549500,2020 est.
2,United States,121176000,2020 est.
3,Japan,44000791,2020 est.
4,Brazil,36344670,2020 est.
5,Germany,36215303,2020 est.
6,Russia,33893305,2020 est.
7,France,30627000,2020 est.
8,United Kingdom,27330297,2020 est.
9,India,22950000,2020 est.
10,"Korea, South",22327182,2020 est.
11,Mexico,21936131,2020 est.
12,Italy,18128787,2020 est.
13,Turkey (Turkiye),16734853,2020 est.
14,Vietnam,16699249,2020 est.
15,Spain,16188502,2020 est.
16,Canada,15825813,2020 est.
17,Indonesia,11722218,2020 est.
18,Thailand,11478265,2020 est.
19,Bangladesh,10052819,2020 est.
20,Argentina,9571562,2020 est.
21,Iran,9564195,2020 est.
22,Egypt,9349469,2020 est.
23,Australia,9099619,2020 est.
24,Poland,8369218,2020 est.
25,Philippines,7936574,2020 est.
26,Saudi Arabia,7890261,2020 est.
27,Ukraine,7769401,2020 est.
28,Colombia,7764772,2020 est.
29,Netherlands,7525016,2020 est.
30,Iraq,6254099,2020 est.
31,Taiwan,5831470,2019 est.
32,Romania,5684782,2020 est.
33,Uzbekistan,4820009,2020 est.
34,Belgium,4734210,2020 est.
35,Greece,4257026,2020 est.
36,Sweden,4179574,2020 est.
37,Portugal,4160795,2020 est.
38,Switzerland,4028238,2020 est.
39,Czechia,3845426,2020 est.
40,Algeria,3790459,2020 est.
41,Chile,3763826,2020 est.
42,Hungary,3382136,2021 est.
43,Malaysia,3358800,2020 est.
44,Belarus,3255552,2020 est.
45,United Arab Emirates,3245123,2020 est.
46,Peru,3044000,2020 est.
47,Hong Kong,2885586,2020 est.
48,Kazakhstan,2620400,2020 est.
49,Austria,2606000,2020 est.
50,Israel,2602079,2020 est.
51,Denmark,2590282,2020 est.
52,Venezuela,2561556,2020 est.
53,Pakistan,2523027,2020 est.
54,Norway,2387661,2020 est.
55,Ecuador,2371297,2020 est.
56,Bulgaria,2115053,2020 est.
57,Morocco,2102434,2020 est.
58,Azerbaijan,1995474,2020 est.
59,Finland,1846000,2020 est.
60,Sri Lanka,1781530,2020 est.
61,New Zealand,1764984,2020 est.
62,Serbia,1730496,2020 est.
63,Slovakia,1701561,2020 est.
64,Syria,1549356,2020 est.
65,Ireland,1516473,2020 est.
66,Singapore,1509700,2020 est.
67,Tunisia,1334059,2020 est.
68,South Africa,1303057,2020 est.
69,Nepal,1270000,2020 est.
70,Tanzania,1135608,2020 est.
71,Uruguay,1063701,2020 est.
72,Dominican Republic,1031858,2020 est.
73,Croatia,1030973,2020 est.
74,Costa Rica,992725,2020 est.
75,Georgia,986809,2021 est.
76,Bolivia,931918,2020 est.
77,Lithuania,796814,2020 est.
78,Bosnia and Herzegovina,770424,2020 est.
79,Cameroon,722579,2020 est.
80,Moldova,719001,2020 est.
81,Burma,688185,2020 est.
82,Kenya,674191,2020 est.
83,Puerto Rico,671284,2020 est.
84,Slovenia,651604,2020 est.
85,Jordan,630545,2020 est.
86,Guatemala,612000,2020 est.
87,El Salvador,586000,2020 est.
88,Panama,562413,2020 est.
