rank,country,carbon_dioxide_emissions,date_of_information
1,China,13506000000,2022 est.
2,United States,4941000000,2022 est.
3,India,2805000000,2022 est.
4,Russia,1840000000,2022 est.
5,Japan,1049000000,2022 est.
6,Iran,750453000,2022 est.
7,Indonesia,684926000,2022 est.
8,Germany,668292000,2022 est.
9,"Korea, South",643456000,2022 est.
10,Saudi Arabia,638449000,2022 est.
11,Canada,572820000,2022 est.
12,Brazil,516752000,2022 est.
13,South Africa,476987000,2022 est.
14,Mexico,453600000,2022 est.
15,Australia,415177000,2022 est.
16,Turkey (Turkiye),391592000,2022 est.
17,United Kingdom,353407000,2022 est.
18,Italy,316578000,2022 est.
19,France,311904000,2022 est.
20,Thailand,307934000,2022 est.
21,Taiwan,306035000,2022 est.
22,Vietnam,297826000,2022 est.
23,Poland,293356000,2022 est.
24,United Arab Emirates,268041000,2022 est.
25,Spain,266476000,2022 est.
26,Kazakhstan,265460000,2022 est.
27,Malaysia,262458000,2022 est.
28,Singapore,241710000,2022 est.
29,Egypt,240225000,2022 est.
30,Pakistan,213498000,2022 est.
31,Netherlands,186092000,2022 est.
32,Argentina,185370000,2022 est.
33,Iraq,156892000,2022 est.
34,Algeria,147930000,2022 est.
35,Philippines,136273000,2022 est.
36,Qatar,122122000,2022 est.
37,Nigeria,118699000,2022 est.
38,Belgium,116271000,2022 est.
39,Uzbekistan,103219000,2022 est.
40,Turkmenistan,101442000,2022 est.
41,Kuwait,100596000,2022 est.
42,Bangladesh,99570000,2022 est.
43,Ukraine,93360000,2022 est.
44,Czechia,91213000,2022 est.
45,Hong Kong,87498000,2022 est.
46,Venezuela,80769000,2022 est.
47,Chile,79689000,2022 est.
48,Oman,79559000,2022 est.
49,Colombia,70163000,2022 est.
50,Morocco,67688000,2022 est.
51,Israel,64871000,2022 est.
52,Romania,62594000,2022 est.
53,Greece,62142000,2022 est.
54,"Korea, North",61605000,2022 est.
55,Austria,57876000,2022 est.
56,Belarus,51682000,2022 est.
57,Libya,49751000,2022 est.
58,Sweden,47364000,2022 est.
59,Peru,45504000,2022 est.
60,Hungary,44884000,2022 est.
61,Bahrain,43343000,2022 est.
62,Bulgaria,43234000,2022 est.
63,Serbia,42933000,2022 est.
64,Portugal,42562000,2022 est.
65,Norway,38928000,2022 est.
66,Azerbaijan,36187000,2022 est.
67,Finland,36006000,2022 est.
68,Ireland,35957000,2022 est.
69,Trinidad and Tobago,35415000,2022 est.
70,Switzerland,33609000,2022 est.
71,New Zealand,31998000,2022 est.
72,Burma,31347000,2022 est.
73,Ecuador,31306000,2022 est.
74,Denmark,30308000,2022 est.
75,Dominican Republic,27132000,2022 est.
76,Lebanon,26594000,2022 est.
77,Panama,25763000,2022 est.
78,Bosnia and Herzegovina,25762000,2022 est.
79,Syria,25628000,2022 est.
80,Tunisia,23645000,2022 est.
81,Ghana,22882000,2022 est.
