rank,country,children_under_the_age_of_5_years_underweight,date_of_information
1,Yemen,39.9,2013 est.
2,Niger,34.6,2022 est.
3,Sudan,33,2014 est.
4,Timor-Leste,31.9,2020 est.
5,India,31.5,2019/21 est.
6,Burundi,27.6,2022 est.
7,"Congo, Democratic Republic of the",23.1,2017/18 est.
8,Pakistan,23.1,2017/18 est.
9,Madagascar,22.6,2021 est.
10,Bangladesh,22.6,2019 est.
11,Mauritania,22.4,2022 est.
12,Ethiopia,21.1,2019 est.
13,Laos,21.1,2017 est.
14,Latvia,21.1,2020/21 est.
15,Central African Republic,20.5,2019 est.
16,Sri Lanka,20.5,2016 est.
17,Philippines,19.1,2018 est.
18,Burma,19.1,2017/18 est.
19,Afghanistan,19.1,2018 est.
20,Angola,19,2015/16 est.
21,Chad,18.9,2022 est.
22,Guinea-Bissau,18.8,2019 est.
23,Nepal,18.7,2022 est.
24,Mali,18.5,2022 est.
25,Nigeria,18.4,2019/20 est.
26,Indonesia,17.7,2018 est.
27,Burkina Faso,17.5,2021 est.
28,Benin,16.8,2017/18 est.
29,Cambodia,16.3,2022 est.
30,Guinea,16.3,2018 est.
31,Djibouti,16.2,2019 est.
32,Solomon Islands,16.2,2015 est.
33,Togo,15.2,2017 est.
34,Maldives,14.8,2016/17 est.
35,Mozambique,14.6,2019/20 est.
36,Guatemala,14.4,2021/22 est.
37,Senegal,14.4,2019 est.
38,Malaysia,14.1,2019 est.
39,Namibia,13.2,2013 est.
40,Cote d'Ivoire,12.8,2016 est.
41,Ghana,12.6,2017/18 est.
42,"Congo, Republic of the",12.3,2014/15 est.
43,Tanzania,12.1,2022 est.
44,Sierra Leone,12,2021 est.
45,Marshall Islands,11.9,2017 est.
46,Zambia,11.8,2018/19 est.
47,Malawi,11.7,2020 est.
48,Libya,11.7,2014 est.
49,Vanuatu,11.7,2013 est.
50,"Gambia, The",11.6,2019/20 est.
51,Vietnam,11.6,2020 est.
52,Oman,11.2,2016/17 est.
53,Cameroon,11,2018/19 est.
54,Liberia,10.9,2019/20 est.
55,Lesotho,10.5,2018 est.
56,Kenya,10.1,2022 est.
57,Zimbabwe,9.7,2019 est.
58,Haiti,9.5,2016/17 est.
59,Guyana,9.4,2019 est.
60,"Korea, North",9.3,2017 est.
61,Rwanda,7.7,2019/20 est.
62,Thailand,7.7,2019 est.
63,Tajikistan,7.6,2017 est.
64,Uganda,7.6,2019/20 est.
65,Honduras,7.1,2019 est.
66,Egypt,7,2014 est.
67,Kiribati,6.9,2018/19 est.
68,Suriname,6.7,2018 est.
69,Gabon,6.4,2019/20 est.
70,Eswatini,5.8,2014 est.
71,South Africa,5.5,2017 est.
72,Sao Tome and Principe,5.4,2019 est.
73,Ecuador,5.2,2018/19 est.
74,El Salvador,5,2014 est.
75,Azerbaijan,4.9,2013 est.
76,Belize,4.6,2015/16 est.
77,Fiji,4.6,2021 est.
78,Iran,4.3,2017 est.
79,Mexico,4.2,2021 est.
80,Iraq,3.9,2018 est.
81,Colombia,3.7,2015/16 est.
82,Montenegro,3.7,2018/19 est.
83,Saudi Arabia,3.5,2020 est.
84,Samoa,3.4,2019/20 est.
85,Lebanon,3.4,2021 est.
86,Bolivia,3.4,2016 est.
87,Tuvalu,3.1,2019/20 est.
88,Turkmenistan,3.1,2019 est.
89,Dominican Republic,3,2019 est.
90,Panama,3,2019 est.
91,Costa Rica,2.9,2018 est.
92,Morocco,2.8,2019/20 est.
93,Algeria,2.7,2018/19 est.
94,Jordan,2.7,2019 est.
95,Armenia,2.6,2015/16 est.
96,Jamaica,2.5,2018/19 est.
97,Lithuania,2.5,2021 est.
98,Kuwait,2.5,2020 est.
99,Cuba,2.4,2019 est.
100,China,2.4,2013 est.
101,West Bank,2.1,2019/20 est.
102,Gaza Strip,2.1,2019/20 est.
103,Peru,2.1,2021 est.
104,Georgia,2.1,2018 est.
105,Kazakhstan,2,2015 est.
106,Bulgaria,1.9,2014 est.
107,Uzbekistan,1.8,2021 est.
108,Mongolia,1.8,2018 est.
109,Uruguay,1.8,2018 est.
110,Kyrgyzstan,1.8,2018 est.
111,Argentina,1.7,2018/19 est.
112,Tunisia,1.6,2018 est.
113,Turkey (Turkiye),1.5,2018/19 est.
114,Albania,1.5,2017/18 est.
115,Paraguay,1.3,2016 est.
116,Serbia,1,2019 est.
117,Belgium,1,2014/15 est.
118,"Korea, South",0.9,2019/21 est.
119,North Macedonia,0.9,2018/19 est.
120,Tonga,0.8,2019 est.
121,Germany,0.5,2014/17 est.
122,Chile,0.5,2014 est.
123,Turks and Caicos Islands,0.4,2019/20 est.
124,Portugal,0.4,2015/16 est.
125,United States,0.4,2017/18 est.
126,Estonia,0.4,2013/15 est.
