rank,country,education_expenditures,date_of_information
1,Marshall Islands,13.6,2020 est.
2,Solomon Islands,12.8,2020 est.
3,Kiribati,12.4,2019 est.
4,Greenland,10.2,2019 est.
5,Bolivia,9.8,2020 est.
6,"Micronesia, Federated States of",9.7,2018 est.
7,Namibia,9.6,2021 est.
8,Sierra Leone,9.1,2021 est.
9,Belize,8.7,2021 est.
10,Botswana,8.7,2020 est.
11,Lesotho,8.7,2021 est.
12,Saudi Arabia,7.8,2020 est.
13,Iceland,7.7,2020 est.
14,Faroe Islands,7.6,2019 est.
15,Cabo Verde,7.6,2020 est.
16,Curacao,7.4,2020 est.
17,Tunisia,7.3,2016 est.
18,Sweden,7.2,2020 est.
19,Israel,7.1,2020 est.
20,Nauru,7.1,2021 est.
21,Algeria,7,2020 est.
22,Bhutan,7,2021 est.
23,Morocco,6.8,2020 est.
24,Palau,6.8,2019 est.
25,Belgium,6.7,2020 est.
26,Costa Rica,6.7,2020 est.
27,South Africa,6.6,2021 est.
28,Tonga,6.6,2021 est.
29,Estonia,6.6,2020 est.
30,Kuwait,6.6,2020 est.
31,Barbados,6.5,2021 est.
32,Denmark,6.4,2020 est.
33,Moldova,6.4,2020 est.
34,Honduras,6.4,2020 est.
35,Mozambique,6.3,2020 est.
36,Macau,6.3,2020 est.
37,Kyrgyzstan,6.2,2020 est.
38,Australia,6.1,2020 est.
39,Cyprus,6.1,2020 est.
40,United States,6.1,2020 est.
41,Brazil,6,2019 est.
42,New Zealand,6,2020 est.
43,Jamaica,6,2021 est.
44,Latvia,6,2020 est.
45,Malta,5.9,2020 est.
46,Finland,5.9,2020 est.
47,Tajikistan,5.9,2020 est.
48,Norway,5.9,2020 est.
49,Slovenia,5.8,2020 est.
50,Maldives,5.8,2020 est.
51,Fiji,5.7,2020 est.
52,Saint Vincent and the Grenadines,5.7,2018 est.
53,Chile,5.6,2019 est.
54,Aruba,5.5,2016 est.
55,United Kingdom,5.5,2020 est.
56,France,5.5,2020 est.
57,Dominica,5.5,2021 est.
58,Burkina Faso,5.5,2020 est.
59,Senegal,5.5,2020 est.
60,Croatia,5.5,2020 est.
61,Oman,5.4,2019 est.
62,Montserrat,5.4,2020 est.
63,Ukraine,5.4,2020 est.
64,Netherlands,5.3,2020 est.
65,West Bank,5.3,2018 est.
66,Gaza Strip,5.3,2018 est.
67,Seychelles,5.2,2020 est.
68,Switzerland,5.2,2020 est.
69,Poland,5.2,2020 est.
70,Canada,5.2,2020 est.
71,Czechia,5.1,2020 est.
72,Austria,5.1,2020 est.
73,Sao Tome and Principe,5,2020 est.
74,Suriname,5,2020 est.
75,Eswatini,5,2021 est.
76,Portugal,5,2020 est.
77,Burundi,5,2020 est.
78,Luxembourg,5,2020 est.
79,Argentina,5,2020 est.
80,Mauritius,4.9,2021 est.
81,Colombia,4.9,2020 est.
82,Uzbekistan,4.9,2020 est.
83,Kenya,4.8,2021 est.
84,Hungary,4.8,2020 est.
85,Samoa,4.8,2020 est.
86,Belarus,4.7,2021 est.
87,Iraq,4.7,2016 est.
88,Mongolia,4.7,2020 est.
89,Germany,4.7,2020 est.
90,"Korea, South",4.7,2019 est.
91,Uruguay,4.6,2020 est.
92,Cook Islands,4.6,2021 est.
93,Dominican Republic,4.6,2020 est.
94,Slovakia,4.6,2020 est.
95,Spain,4.6,2020 est.
96,Nicaragua,4.6,2020 est.
97,Kazakhstan,4.5,2020 est.
98,Guyana,4.5,2018 est.
99,Turks and Caicos Islands,4.5,2021 est.
100,India,4.5,2020 est.
101,Ethiopia,4.5,2019 est.
102,"Congo, Republic of the",4.5,2020 est.
103,Greece,4.4,2020 est.
104,Brunei,4.4,2016 est.
105,Mali,4.4,2021 est.
106,Italy,4.3,2020 est.
107,Mexico,4.3,2018 est.
108,Azerbaijan,4.3,2020 est.
109,Timor-Leste,4.2,2020 est.
110,Nepal,4.2,2020 est.
111,El Salvador,4.1,2020 est.
