rank,country,energy_consumption_per_capita,date_of_information
1,Qatar,767202000,2022 est.
2,Singapore,653844000,2022 est.
3,Bahrain,514320000,2022 est.
4,United Arab Emirates,496365000,2022 est.
5,Brunei,466111000,2022 est.
6,Kuwait,402030000,2022 est.
7,Canada,315581000,2022 est.
8,Saudi Arabia,313903000,2022 est.
9,Oman,285886000,2022 est.
10,United States,284575000,2022 est.
11,Turkmenistan,282657000,2022 est.
12,Australia,236653000,2022 est.
13,"Korea, South",235518000,2022 est.
14,Luxembourg,232384000,2022 est.
15,Malta,226072000,2022 est.
16,Russia,225235000,2022 est.
17,Taiwan,208336000,2022 est.
18,Belgium,205444000,2022 est.
19,Norway,201034000,2022 est.
20,Netherlands,186890000,2022 est.
21,Finland,181313000,2022 est.
22,Kazakhstan,176085000,2022 est.
23,Hong Kong,167815000,2022 est.
24,Aruba,161715000,2022 est.
25,Iran,152479000,2022 est.
26,Sweden,150621000,2022 est.
27,Guam,150555000,2019 est.
28,Czechia,149874000,2022 est.
29,Cayman Islands,144845000,2022 est.
30,Japan,136122000,2022 est.
31,Germany,132263000,2022 est.
32,Bermuda,124882000,2022 est.
33,Austria,123110000,2022 est.
34,China,122004000,2022 est.
35,France,121928000,2022 est.
36,New Zealand,120219000,2022 est.
37,Ireland,118037000,2022 est.
38,Libya,117609000,2022 est.
39,Malaysia,116494000,2022 est.
40,"Bahamas, The",115318000,2022 est.
41,Slovenia,114991000,2022 est.
42,Antigua and Barbuda,114469000,2022 est.
43,Israel,113455000,2022 est.
44,Seychelles,111200000,2022 est.
45,Bulgaria,107943000,2022 est.
46,Cyprus,106317000,2022 est.
47,Poland,106196000,2022 est.
48,Spain,105979000,2022 est.
49,Hungary,102832000,2022 est.
50,Switzerland,101938000,2022 est.
51,Denmark,100260000,2022 est.
52,United Kingdom,99499000,2022 est.
53,Belarus,99484000,2022 est.
54,Italy,98458000,2022 est.
55,South Africa,95511000,2022 est.
56,Greece,94151000,2022 est.
57,Slovakia,93681000,2022 est.
58,Bosnia and Herzegovina,92698000,2022 est.
59,American Samoa,89105000,2019 est.
60,Serbia,89037000,2022 est.
61,British Virgin Islands,87470000,2022 est.
62,Panama,87160000,2022 est.
63,Lithuania,85201000,2022 est.
64,Portugal,80316000,2022 est.
65,Croatia,78371000,2022 est.
66,Saint Kitts and Nevis,77743000,2022 est.
67,Puerto Rico,76228000,2022 est.
68,Argentina,75735000,2022 est.
69,Estonia,73259000,2022 est.
70,Turkey (Turkiye),70594000,2022 est.
71,Thailand,69958000,2022 est.
72,Chile,69194000,2022 est.
73,Macau,69034000,2022 est.
74,Barbados,68271000,2022 est.
75,Lebanon,67466000,2022 est.
76,Latvia,64272000,2022 est.
77,Azerbaijan,61497000,2022 est.
78,Armenia,60957000,2022 est.
79,Bhutan,60788000,2022 est.
80,Romania,60670000,2022 est.
81,Mexico,59319000,2022 est.
82,Montenegro,59174000,2022 est.
83,Algeria,58473000,2022 est.
84,Georgia,58044000,2022 est.
85,Iraq,57702000,2022 est.
86,Venezuela,57282000,2022 est.
87,Mongolia,57093000,2022 est.
88,Kosovo,57072000,2022 est.
89,Maldives,56264000,2022 est.
90,Suriname,55101000,2022 est.
91,Mauritius,54401000,2022 est.
92,Uzbekistan,53528000,2022 est.
93,Ukraine,53302000,2022 est.
94,Brazil,50037000,2022 est.
95,Saint Lucia,48251000,2022 est.
96,Uruguay,47237000,2022 est.
97,Jamaica,46586000,2022 est.
98,North Macedonia,46564000,2022 est.
99,Guyana,42797000,2022 est.
100,Equatorial Guinea,41487000,2022 est.
101,Grenada,40666000,2022 est.
102,Botswana,39265000,2022 est.
103,Vietnam,39117000,2022 est.
104,Dominican Republic,36656000,2022 est.
105,Egypt,36463000,2022 est.
106,Saint Vincent and the Grenadines,35826000,2022 est.
107,Dominica,35086000,2022 est.
108,Moldova,34021000,2022 est.
109,Tunisia,33641000,2022 est.
110,Indonesia,33039000,2022 est.
111,Cuba,32255000,2022 est.
112,Costa Rica,31430000,2022 est.
113,Jordan,30906000,2022 est.
114,Belize,30710000,2022 est.
115,Albania,30306000,2022 est.
116,Ecuador,30111000,2022 est.
117,Laos,29176000,2022 est.
118,Paraguay,28472000,2022 est.
119,Kyrgyzstan,26992000,2022 est.
120,"Korea, North",25876000,2022 est.
121,Colombia,25800000,2022 est.
122,Morocco,24936000,2022 est.
123,Peru,24932000,2022 est.
124,India,24793000,2022 est.
125,Namibia,24695000,2022 est.
126,Bolivia,24229000,2022 est.
127,Gabon,23955000,2022 est.
128,El Salvador,23672000,2022 est.
129,Fiji,21041000,2022 est.
130,Samoa,20949000,2022 est.
131,Syria,18111000,2022 est.
132,Tonga,17949000,2022 est.
133,Eswatini,17642000,2022 est.
134,Guatemala,16807000,2022 est.
135,Honduras,16386000,2022 est.
136,Cabo Verde,16298000,2022 est.
137,Tajikistan,16255000,2022 est.
138,Philippines,15558000,2022 est.
139,Gaza Strip,15201000,2022 est.
140,West Bank,15201000,2022 est.
141,Pakistan,14902000,2022 est.
142,Sri Lanka,14449000,2022 est.
143,Mauritania,13306000,2022 est.
144,Nicaragua,12903000,2022 est.
145,Cambodia,12831000,2022 est.
146,Zimbabwe,11726000,2022 est.
147,Ghana,11416000,2022 est.
148,Vanuatu,10775000,2022 est.
149,Sao Tome and Principe,9873000,2022 est.
150,Bangladesh,9678000,2022 est.
151,Angola,9610000,2022 est.
152,Djibouti,9559000,2022 est.
153,Burma,9244000,2022 est.
154,Nigeria,8564000,2022 est.
155,Kiribati,8403000,2022 est.
156,Senegal,7836000,2022 est.
157,Cote d'Ivoire,7733000,2022 est.
158,Benin,7638000,2022 est.
159,"Congo, Republic of the",7238000,2022 est.
160,Zambia,7088000,2022 est.
161,Papua New Guinea,6565000,2022 est.
162,Timor-Leste,6497000,2022 est.
163,Sudan,6271000,2022 est.
164,Comoros,6223000,2022 est.
165,Solomon Islands,6172000,2022 est.
166,Lesotho,5975000,2022 est.
167,Nepal,5881000,2022 est.
168,Kenya,5692000,2022 est.
169,Mozambique,5426000,2022 est.
170,Guinea,4891000,2022 est.
171,Cameroon,4656000,2022 est.
172,Mali,4476000,2022 est.
173,Togo,4077000,2022 est.
174,Yemen,3939000,2022 est.
175,Burkina Faso,3419000,2022 est.
176,Haiti,3403000,2022 est.
177,Tanzania,3221000,2022 est.
178,Afghanistan,2686000,2022 est.
179,"Gambia, The",2651000,2022 est.
180,South Sudan,2627000,2022 est.
181,Eritrea,2530000,2022 est.
182,Guinea-Bissau,2372000,2022 est.
183,Ethiopia,2340000,2022 est.
184,Uganda,2248000,2022 est.
185,Sierra Leone,2229000,2022 est.
186,Liberia,1971000,2022 est.
187,Madagascar,1887000,2022 est.
188,Rwanda,1659000,2022 est.
189,Chad,1649000,2022 est.
190,Niger,1405000,2022 est.
191,Malawi,1331000,2022 est.
192,"Congo, Democratic Republic of the",970000,2022 est.
193,Burundi,961000,2022 est.
194,Central African Republic,881000,2022 est.
195,Somalia,661000,2022 est.
