rank,country,exports,date_of_information
1,China,$3511000000000,2023 est.
2,United States,$3052000000000,2023 est.
3,Germany,$2104000000000,2023 est.
4,United Kingdom,$1075000000000,2023 est.
5,France,$1052000000000,2023 est.
6,Netherlands,$949983000000,2023 est.
7,Japan,$920737000000,2023 est.
8,Singapore,$873989000000,2023 est.
9,Italy,$793589000000,2023 est.
10,India,$773224000000,2023 est.
11,"Korea, South",$769534000000,2023 est.
12,Ireland,$731814000000,2023 est.
13,Canada,$717677000000,2023 est.
14,Hong Kong,$673305000000,2023 est.
15,Switzerland,$661628000000,2023 est.
16,Mexico,$649312000000,2023 est.
17,Spain,$615830000000,2023 est.
18,Belgium,$535174000000,2023 est.
19,Poland,$469264000000,2023 est.
20,Russia,$465432000000,2023 est.
21,Australia,$447508000000,2023 est.
22,Brazil,$389626000000,2023 est.
23,Taiwan,$388490000000,2019 est.
24,Vietnam,$374265000000,2023 est.
25,Saudi Arabia,$370974000000,2023 est.
26,Turkey (Turkiye),$352514000000,2023 est.
27,Thailand,$336871000000,2023 est.
28,United Arab Emirates,$335238000000,2020 est.
29,Sweden,$324073000000,2023 est.
30,Malaysia,$312857000000,2022 est.
31,Austria,$306466000000,2023 est.
32,Indonesia,$292790000000,2023 est.
33,Denmark,$278917000000,2023 est.
34,Czechia,$236688000000,2023 est.
35,Norway,$228625000000,2023 est.
36,Luxembourg,$176133000000,2023 est.
37,Hungary,$172484000000,2023 est.
38,Israel,$156165000000,2023 est.
39,Romania,$137337000000,2023 est.
40,Portugal,$136589000000,2023 est.
41,Qatar,$128726000000,2023 est.
42,Iraq,$127079000000,2022 est.
43,South Africa,$124731000000,2023 est.
44,Finland,$122953000000,2023 est.
45,Slovakia,$121238000000,2023 est.
46,Iran,$110882000000,2022 est.
47,Greece,$106650000000,2023 est.
48,Chile,$104349000000,2023 est.
49,Philippines,$103601000000,2023 est.
50,Kuwait,$95476000000,2023 est.
51,Kazakhstan,$90167000000,2023 est.
52,Venezuela,$83401000000,2018 est.
53,Argentina,$83359000000,2023 est.
54,Egypt,$76295000000,2022 est.
55,Peru,$73326000000,2023 est.
56,Oman,$69701000000,2022 est.
57,Colombia,$67762000000,2023 est.
58,Bulgaria,$62118000000,2023 est.
59,Lithuania,$61101000000,2023 est.
60,Nigeria,$60261000000,2023 est.
61,Puerto Rico,$59787000000,2022 est.
62,New Zealand,$59043000000,2023 est.
63,Bangladesh,$58885000000,2023 est.
64,Algeria,$58816000000,2023 est.
65,Morocco,$58556000000,2022 est.
66,Slovenia,$57489000000,2023 est.
67,Ukraine,$51093000000,2023 est.
68,Belarus,$47870000000,2023 est.
69,Croatia,$44969000000,2023 est.
70,Serbia,$44343000000,2023 est.
71,Bahrain,$40344000000,2023 est.
72,Angola,$36961000000,2023 est.
73,Panama,$36569000000,2023 est.
74,Pakistan,$36442000000,2023 est.
75,Azerbaijan,$35487000000,2023 est.
76,Ecuador,$34640000000,2023 est.
77,Costa Rica,$33699000000,2023 est.
78,Libya,$32380000000,2021 est.
79,Estonia,$31939000000,2023 est.
80,Cyprus,$28808000000,2023 est.
81,Latvia,$27947000000,2023 est.
82,Cambodia,$27753000000,2023 est.
83,Dominican Republic,$25843000000,2023 est.
84,Ghana,$25744000000,2022 est.
85,Malta,$25417000000,2022 est.
86,Uzbekistan,$24536000000,2023 est.
87,"Congo, Democratic Republic of the",$22354000000,2021 est.
88,Uruguay,$21286000000,2023 est.
89,Macau,$20985000000,2022 est.
90,Burma,$20400000000,2021 est.
91,Jordan,$20335000000,2022 est.
92,Paraguay,$18711000000,2023 est.
93,Trinidad and Tobago,$17584000000,2022 est.
94,Sri Lanka,$17327000000,2023 est.
95,Guatemala,$17308000000,2023 est.
96,Tunisia,$17258000000,2022 est.
97,Cote d'Ivoire,$17211000000,2022 est.
98,Mongolia,$15501000000,2023 est.
99,Georgia,$15161000000,2023 est.
100,Brunei,$14411000000,2022 est.
101,Armenia,$14130000000,2023 est.
102,Kenya,$13859000000,2022 est.
103,Iceland,$13490000000,2023 est.
104,Gabon,$12935000000,2022 est.
105,Zambia,$12444000000,2022 est.
106,Tanzania,$11986000000,2022 est.
107,Bolivia,$11975000000,2023 est.
108,Bosnia and Herzegovina,$11942000000,2023 est.
109,Lebanon,$11770000000,2023 est.
110,Papua New Guinea,$11625000000,2021 est.
111,Guyana,$11536000000,2022 est.
112,Ethiopia,$10865000000,2023 est.
113,North Macedonia,$10748000000,2023 est.
114,El Salvador,$10629000000,2023 est.
115,Turkmenistan,$10282000000,2021 est.
116,Honduras,$9701000000,2023 est.
117,Mozambique,$9289000000,2023 est.
118,Albania,$9178000000,2023 est.
119,Botswana,$8900000000,2022 est.
120,Guinea,$8898000000,2022 est.
121,Cuba,$8769000000,2020 est.
122,Cameroon,$8641000000,2022 est.
123,Laos,$8604000000,2022 est.
124,Nicaragua,$8250000000,2023 est.
125,"Congo, Republic of the",$7752000000,2021 est.
126,Zimbabwe,$7650000000,2022 est.
127,Senegal,$6780000000,2021 est.
128,Chad,$6503000000,2022 est.
129,Jamaica,$6424000000,2022 est.
130,Equatorial Guinea,$6231000000,2022 est.
131,Uganda,$6115000000,2022 est.
132,Sudan,$5908000000,2022 est.
133,Moldova,$5865000000,2023 est.
134,Mali,$5855000000,2022 est.
135,Burkina Faso,$5814000000,2022 est.
136,South Sudan,$5811000000,2022 est.
137,Djibouti,$5674000000,2022 est.
138,Namibia,$5641000000,2023 est.
139,Mauritius,$5499000000,2023 est.
140,Maldives,$5096000000,2022 est.
141,"Bahamas, The",$4744000000,2022 est.
