rank,country,gdp_composition_by_sector_of_origin,date_of_information
1,Sierra Leone,64.4,2023 est.
2,Niger,47.8,2023 est.
3,Falkland Islands (Islas Malvinas),41,2015 est.
4,Comoros,37.2,2023 est.
5,Mali,36.8,2023 est.
6,Ethiopia,35.8,2023 est.
7,Liberia,34.9,2023 est.
8,Solomon Islands,33.8,2022 est.
9,Afghanistan,33.7,2022 est.
10,Guinea-Bissau,33.7,2023 est.
11,Yemen,28.7,2018 est.
12,Central African Republic,28.6,2023 est.
13,Guinea,28.2,2023 est.
14,Syria,27.8,2021 est.
15,Rwanda,27.1,2023 est.
16,Zimbabwe,27,2023 est.
17,Mozambique,26.7,2022 est.
18,Benin,25.4,2023 est.
19,Burundi,25.2,2023 est.
20,Chad,25.1,2023 est.
21,"Gambia, The",24.6,2023 est.
22,Uganda,23.8,2023 est.
23,Tanzania,23.7,2023 est.
24,Pakistan,23.4,2023 est.
25,Kiribati,23,2016 est.
26,Uzbekistan,23,2023 est.
27,Tajikistan,22.9,2022 est.
28,Nigeria,22.7,2023 est.
29,"Korea, North",22.5,2017 est.
30,"Micronesia, Federated States of",22.5,2023 est.
31,Malawi,22.1,2023 est.
32,Cambodia,21.5,2023 est.
33,Kenya,21.3,2023 est.
34,Vanuatu,21.2,2018 est.
35,Nepal,21.2,2023 est.
36,Madagascar,21.1,2023 est.
37,Ghana,21.1,2023 est.
38,Marshall Islands,20.6,2022 est.
39,Burma,20.4,2023 est.
40,Mauritania,19.9,2023 est.
41,Faroe Islands,18.7,2022 est.
42,Albania,18.3,2023 est.
43,Haiti,18.2,2023 est.
44,Togo,18.1,2023 est.
45,Greenland,17.5,2021 est.
46,"Congo, Democratic Republic of the",17.4,2023 est.
47,Papua New Guinea,16.9,2022 est.
48,Cameroon,16.7,2023 est.
49,Senegal,16.4,2023 est.
50,Tonga,16.3,2021 est.
51,Burkina Faso,16.3,2023 est.
52,Laos,16.1,2023 est.
53,India,16,2023 est.
54,Tuvalu,15.9,2015 est.
55,Nicaragua,15.3,2023 est.
56,Angola,14.9,2023 est.
57,Dominica,14.8,2023 est.
58,Bhutan,14.7,2022 est.
59,Cote d'Ivoire,14.4,2023 est.
60,Sao Tome and Principe,13.9,2022 est.
61,Algeria,13.2,2023 est.
62,Iran,13,2023 est.
63,Bolivia,12.5,2023 est.
64,Indonesia,12.5,2023 est.
65,Morocco,12,2023 est.
66,Honduras,12,2023 est.
67,Vietnam,12,2023 est.
68,Eritrea,11.7,2017 est.
69,Turkmenistan,11.6,2022 est.
70,Paraguay,11.3,2023 est.
71,Samoa,11,2023 est.
72,Bangladesh,11,2023 est.
73,Egypt,10.6,2023 est.
74,South Sudan,10.4,2015 est.
75,Mongolia,10.2,2023 est.
76,Timor-Leste,10.2,2022 est.
77,Guyana,10,2022 est.
78,Kyrgyzstan,9.7,2023 est.
79,Tunisia,9.5,2023 est.
80,Philippines,9.4,2023 est.
81,Guatemala,9.2,2023 est.
82,"Congo, Republic of the",9,2023 est.
83,Jamaica,9,2023 est.
84,Belize,9,2023 est.
85,Colombia,8.7,2023 est.
86,Thailand,8.6,2023 est.
87,Armenia,8.4,2023 est.
88,Sri Lanka,8.3,2023 est.
89,Fiji,8.3,2023 est.
90,Eswatini,8.1,2023 est.
91,Suriname,8.1,2022 est.
92,Kosovo,7.8,2023 est.
93,Namibia,7.7,2023 est.
94,Malaysia,7.7,2023 est.
95,Ecuador,7.7,2023 est.
96,Moldova,7.6,2023 est.
97,Ukraine,7.4,2023 est.
98,Belarus,7.3,2023 est.
99,China,7.1,2023 est.
100,Peru,7.1,2022 est.
101,North Macedonia,7,2023 est.
102,Dominican Republic,6.4,2023 est.
103,Lesotho,6.3,2023 est.
104,Brazil,6.2,2023 est.
105,Turkey (Turkiye),6.2,2023 est.
106,Argentina,6.1,2023 est.
107,Georgia,6,2023 est.
108,Gabon,5.8,2023 est.
109,New Zealand,5.8,2021 est.
110,Gaza Strip,5.7,2022 est.
111,West Bank,5.7,2022 est.
112,Montenegro,5.6,2023 est.
113,Uruguay,5.6,2023 est.
114,Sudan,5.6,2023 est.
115,Azerbaijan,5.5,2023 est.
116,Serbia,5.2,2023 est.
117,Venezuela,5,2014 est.
118,Maldives,4.9,2022 est.
119,Jordan,4.8,2023 est.
120,Hungary,4.7,2023 est.
121,El Salvador,4.6,2023 est.
122,Cabo Verde,4.5,2023 est.
123,Kazakhstan,4.3,2023 est.
124,Bosnia and Herzegovina,4.3,2023 est.
125,Saint Vincent and the Grenadines,4.2,2023 est.
126,Latvia,4.2,2023 est.
127,Mexico,4,2023 est.
128,Iceland,3.9,2023 est.
129,Romania,3.9,2023 est.
130,Mauritius,3.8,2023 est.
131,Greece,3.8,2023 est.
