rank,country,imports,date_of_information
1,United States,$3832000000000,2023 est.
2,China,$3125000000000,2023 est.
3,Germany,$1927000000000,2023 est.
4,United Kingdom,$1116000000000,2023 est.
5,France,$1099000000000,2023 est.
6,Japan,$989843000000,2023 est.
7,India,$859485000000,2023 est.
8,Netherlands,$825799000000,2023 est.
9,"Korea, South",$761102000000,2023 est.
10,Italy,$756154000000,2023 est.
11,Canada,$726139000000,2023 est.
12,Singapore,$686656000000,2023 est.
13,Mexico,$673828000000,2023 est.
14,Hong Kong,$670085000000,2023 est.
15,Switzerland,$554358000000,2023 est.
16,Spain,$550576000000,2023 est.
17,Ireland,$548827000000,2023 est.
18,Belgium,$545471000000,2023 est.
19,Poland,$419701000000,2023 est.
20,Turkey (Turkiye),$386828000000,2023 est.
21,Russia,$378615000000,2023 est.
22,Australia,$363573000000,2023 est.
23,Brazil,$346639000000,2023 est.
24,Vietnam,$339767000000,2023 est.
25,Thailand,$328009000000,2023 est.
26,Taiwan,$308744000000,2019 est.
27,Sweden,$296796000000,2023 est.
28,Saudi Arabia,$291565000000,2023 est.
29,Austria,$288146000000,2023 est.
30,Malaysia,$283601000000,2022 est.
31,Indonesia,$264426000000,2023 est.
32,United Arab Emirates,$246886000000,2020 est.
33,Denmark,$240269000000,2023 est.
34,Czechia,$219393000000,2023 est.
35,Hungary,$161558000000,2023 est.
36,Norway,$157032000000,2023 est.
37,Romania,$154106000000,2023 est.
38,Philippines,$150269000000,2023 est.
39,Luxembourg,$146807000000,2023 est.
40,Israel,$137567000000,2023 est.
41,Portugal,$133006000000,2023 est.
42,Finland,$124221000000,2023 est.
43,South Africa,$123541000000,2023 est.
44,Slovakia,$118869000000,2023 est.
45,Greece,$117922000000,2023 est.
46,Iran,$102470000000,2022 est.
47,Chile,$99808000000,2023 est.
48,Egypt,$97144000000,2022 est.
49,Somalia,$94430000000,2018 est.
50,Argentina,$92574000000,2023 est.
51,Ukraine,$88488000000,2023 est.
52,Colombia,$75983000000,2023 est.
53,Morocco,$73783000000,2022 est.
54,Bangladesh,$73172000000,2023 est.
55,Nigeria,$72251000000,2023 est.
56,Qatar,$72174000000,2023 est.
57,Kazakhstan,$71811000000,2023 est.
58,Iraq,$69162000000,2022 est.
59,New Zealand,$68429000000,2023 est.
60,Kuwait,$63430000000,2023 est.
61,Peru,$62990000000,2023 est.
62,Bulgaria,$58790000000,2023 est.
63,Lithuania,$58104000000,2023 est.
64,Pakistan,$57806000000,2023 est.
65,Slovenia,$52826000000,2023 est.
66,Algeria,$51516000000,2023 est.
67,Puerto Rico,$51509000000,2022 est.
68,Serbia,$48216000000,2023 est.
69,Belarus,$47398000000,2023 est.
70,Croatia,$46571000000,2023 est.
71,Oman,$46326000000,2022 est.
72,Uzbekistan,$42098000000,2023 est.
73,Panama,$36135000000,2023 est.
74,Dominican Republic,$34455000000,2023 est.
75,Ecuador,$34447000000,2023 est.
76,Guatemala,$33041000000,2023 est.
77,Bahrain,$32374000000,2023 est.
78,Estonia,$31701000000,2023 est.
79,Jordan,$29955000000,2022 est.
80,Latvia,$29626000000,2023 est.
81,Cambodia,$29420000000,2023 est.
82,Cyprus,$29091000000,2023 est.
83,Costa Rica,$28441000000,2023 est.
84,Ghana,$26329000000,2022 est.
85,Libya,$25406000000,2021 est.
86,Azerbaijan,$25016000000,2023 est.
87,Kenya,$24406000000,2022 est.
88,Malta,$23883000000,2022 est.
89,Angola,$23676000000,2023 est.
90,Lebanon,$23313000000,2023 est.
91,Burma,$23100000000,2021 est.
92,Ethiopia,$22951000000,2023 est.
93,Tunisia,$22500000000,2022 est.
94,"Congo, Democratic Republic of the",$22193000000,2021 est.
95,Macau,$21795000000,2022 est.
96,Cote d'Ivoire,$19948000000,2022 est.
97,Uruguay,$18865000000,2023 est.
98,Sri Lanka,$18823000000,2023 est.
99,Venezuela,$18432000000,2018 est.
100,Paraguay,$17906000000,2023 est.
101,Honduras,$17861000000,2023 est.
102,Georgia,$17791000000,2023 est.
103,El Salvador,$17032000000,2023 est.
104,Tanzania,$16674000000,2022 est.
105,Bosnia and Herzegovina,$15398000000,2023 est.
106,Armenia,$14279000000,2023 est.
107,Nepal,$14098000000,2023 est.
108,Mongolia,$13545000000,2023 est.
109,Iceland,$13484000000,2023 est.
110,Bolivia,$13130000000,2023 est.
111,North Macedonia,$12745000000,2023 est.
112,Senegal,$12278000000,2021 est.
113,Gaza Strip,$12257000000,2022 est.
114,West Bank,$12257000000,2022 est.
115,Sudan,$11575000000,2022 est.
116,Mozambique,$11180000000,2023 est.
117,Uganda,$11145000000,2022 est.
118,Trinidad and Tobago,$10694000000,2022 est.
119,Kyrgyzstan,$10655000000,2022 est.
120,Nicaragua,$10517000000,2023 est.
121,Albania,$10373000000,2023 est.
122,Zimbabwe,$10126000000,2022 est.
123,Brunei,$10106000000,2022 est.
124,Zambia,$10022000000,2022 est.
125,Moldova,$9867000000,2023 est.
126,Cameroon,$9759000000,2022 est.
127,Jamaica,$9726000000,2022 est.
128,Botswana,$8700000000,2022 est.
129,Namibia,$8281000000,2023 est.
130,Cuba,$8067000000,2020 est.
131,Mauritius,$8038000000,2023 est.
132,Mali,$7942000000,2022 est.
133,Laos,$7772000000,2022 est.
134,Kosovo,$7362000000,2023 est.
135,Guyana,$7067000000,2022 est.
136,Afghanistan,$6983000000,2020 est.
137,Burkina Faso,$6761000000,2022 est.
138,Syria,$6553000000,2021 est.
139,South Sudan,$6402000000,2022 est.
140,Papua New Guinea,$6303000000,2021 est.
141,Turkmenistan,$6250000000,2021 est.
142,Madagascar,$6041000000,2022 est.
143,Tajikistan,$5931000000,2023 est.
144,Rwanda,$5783000000,2023 est.
145,Mauritania,$5770000000,2022 est.
146,Guinea,$5749000000,2022 est.
147,"Bahamas, The",$5692000000,2022 est.
148,Haiti,$5451000000,2022 est.
149,Montenegro,$5163000000,2023 est.
150,Djibouti,$5096000000,2022 est.
151,Chad,$5028000000,2022 est.
152,Benin,$4925000000,2021 est.
153,Maldives,$4904000000,2022 est.
154,"Congo, Republic of the",$4487000000,2021 est.
155,Equatorial Guinea,$4297000000,2022 est.
156,Niger,$4194000000,2022 est.
157,Yemen,$4079000000,2017 est.
158,Virgin Islands,$4065000000,2021 est.
159,Malawi,$3706000000,2022 est.
160,Guam,$3667000000,2021 est.
161,Gabon,$3499000000,2022 est.
162,Fiji,$3434000000,2022 est.
163,San Marino,$2934000000,2021 est.
164,Curacao,$2904000000,2022 est.
165,Cayman Islands,$2743000000,2021 est.
166,Andorra,$2440000000,2022 est.
167,Seychelles,$2437000000,2023 est.
168,Aruba,$2429000000,2022 est.
169,Togo,$2389000000,2020 est.
170,"Korea, North",$2320000000,2018 est.
171,Eswatini,$2288000000,2022 est.
172,New Caledonia,$2260000000,2021 est.
173,Liechtenstein,$2230000000,2014 est.
174,Faroe Islands,$2223000000,2022 est.
175,Suriname,$2218000000,2023 est.
176,Barbados,$2120000000,2021 est.
177,Lesotho,$2058000000,2023 est.
178,Sierra Leone,$2013000000,2022 est.
179,Liberia,$1961000000,2022 est.
180,Bermuda,$1925000000,2021 est.
181,Bhutan,$1754000000,2023 est.
182,French Polynesia,$1660000000,2021 est.
183,Greenland,$1609000000,2021 est.
184,Belize,$1571000000,2023 est.
185,Cabo Verde,$1424000000,2023 est.
186,Monaco,$1371000000,2017 est.
187,Sint Maarten,$1318000000,2022 est.
188,Antigua and Barbuda,$1300000000,2023 est.
189,Saint Lucia,$1274000000,2023 est.
190,Timor-Leste,$1179000000,2023 est.
191,Eritrea,$1127000000,2017 est.
192,Grenada,$1021000000,2023 est.
193,Burundi,$905294000,2018 est.
194,Solomon Islands,$883611000,2023 est.
195,"Gambia, The",$829516000,2022 est.
196,Central African Republic,$784669000,2022 est.
197,American Samoa,$677000000,2022 est.
198,Saint Kitts and Nevis,$674134000,2023 est.
199,Vanuatu,$579347000,2022 est.
