rank,country,internet_users,date_of_information
1,China,1022000000,2021 est.
2,India,644000000,2021 est.
3,United States,312800000,2021 est.
4,Brazil,170100000,2021 est.
5,Indonesia,167400000,2021 est.
6,Russia,132000000,2021 est.
7,Nigeria,115500000,2021 est.
8,Japan,99600000,2021 est.
9,Mexico,98800000,2021 est.
10,Egypt,79200000,2021 est.
11,Germany,75530000,2021 est.
12,Vietnam,71780000,2021 est.
13,Iran,69520000,2021 est.
14,Turkey (Turkiye),68850000,2021 est.
15,Bangladesh,66300000,2021 est.
16,United Kingdom,64990000,2021 est.
17,Thailand,61200000,2021 est.
18,Philippines,58300000,2021 est.
19,France,55900000,2021 est.
20,"Korea, South",50960000,2021 est.
21,Pakistan,48300000,2021 est.
22,Italy,44250000,2021 est.
23,Spain,44180000,2021 est.
24,South Africa,42480000,2021 est.
25,Argentina,39150000,2021 est.
26,Colombia,37960000,2021 est.
27,Saudi Arabia,36000000,2021 est.
28,Canada,35340000,2021 est.
29,Ukraine,34596356,2021 est.
30,Malaysia,32980000,2021 est.
31,Morocco,32560000,2021 est.
32,Poland,32300000,2021 est.
33,Algeria,31240000,2021 est.
34,Uzbekistan,26180000,2021 est.
35,Australia,24960000,2021 est.
36,Peru,24140000,2021 est.
37,Burma,23760000,2021 est.
38,Venezuela,22734162,2022 est.
39,Ghana,22440000,2021 est.
40,Taiwan,21600000,2021 est.
41,Iraq,21560000,2021 est.
42,"Congo, Democratic Republic of the",21102720,2021 est.
43,Tanzania,20480000,2021 est.
44,Ethiopia,20400000,2021 est.
45,Kazakhstan,17290000,2021 est.
46,Chile,17100000,2021 est.
47,Netherlands,16560000,2021 est.
48,Romania,15960000,2021 est.
49,Nepal,15600000,2021 est.
50,Kenya,15370000,2021 est.
51,Sri Lanka,14740000,2021 est.
52,Ecuador,13680000,2021 est.
53,Sudan,13248000,2021 est.
54,Cameroon,12420000,2021 est.
55,Cote d'Ivoire,12150000,2021 est.
56,Angola,11550000,2021 est.
57,Belgium,10920000,2021 est.
58,Cambodia,10200000,2021 est.
59,Senegal,9860000,2021 est.
60,Tunisia,9480000,2021 est.
61,United Arab Emirates,9400000,2021 est.
62,Dominican Republic,9350000,2021 est.
63,Guatemala,9180000,2021 est.
64,Czechia,9130000,2021 est.
65,Jordan,9130000,2021 est.
66,Sweden,8800000,2021 est.
67,Hungary,8633000,2021 est.
68,Azerbaijan,8600000,2021 est.
69,Syria,8492468,2022 est.
70,Belarus,8352000,2021 est.
71,Switzerland,8352000,2021 est.
72,Austria,8277000,2021 est.
73,Yemen,8229624,2022 est.
74,Portugal,8200000,2021 est.
75,Israel,8010000,2021 est.
76,Bolivia,7920000,2021 est.
77,Cuba,7810000,2021 est.
78,Greece,7800000,2021 est.
79,Mali,7480000,2021 est.
80,Afghanistan,7020000,2020 est.
81,Hong Kong,6975000,2021 est.
82,Denmark,5841000,2021 est.
83,Madagascar,5800000,2021 est.
84,Zimbabwe,5600000,2021 est.
85,Serbia,5589000,2021 est.
86,Niger,5500000,2021 est.
87,Mozambique,5440000,2021 est.
88,Singapore,5369000,2021 est.
89,Norway,5346000,2021 est.
90,Bulgaria,5175000,2021 est.
91,Paraguay,5159000,2021 est.
92,Finland,5115000,2021 est.
93,Kyrgyzstan,5070000,2021 est.
94,Guinea,4900000,2021 est.
95,New Zealand,4896000,2021 est.
96,Lebanon,4872000,2021 est.
97,Burkina Faso,4840000,2021 est.
98,Slovakia,4806000,2021 est.
99,Honduras,4800000,2021 est.
100,Malawi,4800000,2021 est.
101,Ireland,4750000,2021 est.
102,Uganda,4600000,2021 est.
103,Laos,4588000,2021 est.
104,Benin,4420000,2021 est.
105,Oman,4320000,2021 est.
106,Costa Rica,4316000,2021 est.
107,Kuwait,4300000,2021 est.
108,Haiti,4290000,2021 est.
109,Zambia,3990000,2021 est.
110,El Salvador,3969000,2021 est.
111,West Bank,3938199,2021 est.
112,Nicaragua,3933000,2021 est.
113,Rwanda,3900000,2021 est.
114,Gaza Strip,3602452,2020 est.
115,Croatia,3321000,2021 est.
116,Papua New Guinea,3168000,2021 est.
117,Libya,3095400,2021 est.
118,Uruguay,3060000,2021 est.
119,Chad,3060000,2021 est.
120,Togo,3010000,2021 est.
121,Tajikistan,3009054,2022 est.
122,Panama,2992000,2021 est.
123,Georgia,2888000,2021 est.
124,Mongolia,2772000,2021 est.
125,Mauritania,2714000,2021 est.
126,Qatar,2700000,2021 est.
127,Puerto Rico,2564100,2021 est.
128,Bosnia and Herzegovina,2508000,2021 est.
129,Somalia,2465000,2021 est.
130,Lithuania,2436000,2021 est.
131,Jamaica,2296000,2021 est.
132,Albania,2291000,2021 est.
133,Armenia,2212000,2021 est.
134,Botswana,1924000,2021 est.
135,Moldova,1891000,2021 est.
136,Slovenia,1869000,2021 est.
137,"Congo, Republic of the",1794390,2021 est.
138,Liberia,1768000,2021 est.
139,Kosovo,1756300,2021 est.
140,North Macedonia,1743000,2021 est.
141,Latvia,1729000,2021 est.
142,Gabon,1656000,2021 est.
143,Turkmenistan,1563023,2022 est.
144,Bahrain,1500000,2021 est.
145,Namibia,1325000,2021 est.
146,Trinidad and Tobago,1185000,2021 est.
147,Estonia,1183000,2021 est.
148,Lesotho,1104000,2021 est.
149,Sierra Leone,1047499,2022 est.
150,Mauritius,884000,2021 est.
151,South Sudan,869000,2021 est.
152,Equatorial Guinea,864000,2021 est.
153,"Gambia, The",858000,2021 est.
154,Cyprus,809900,2021 est.
155,Fiji,809600,2021 est.
156,Eritrea,792000,2021 est.
157,Djibouti,759000,2021 est.
158,Burundi,754000,2021 est.
159,Guinea-Bissau,735000,2021 est.
160,Eswatini,708000,2021 est.
161,Guyana,680000,2021 est.
162,Bhutan,670800,2021 est.
163,Luxembourg,633600,2021 est.
164,Macau,607200,2021 est.
165,Central African Republic,605000,2021 est.
166,Montenegro,516600,2021 est.
167,Timor-Leste,507000,2021 est.
168,Malta,461100,2021 est.
169,Maldives,447200,2021 est.
170,Brunei,441000,2021 est.
171,Cabo Verde,413000,2021 est.
172,Suriname,402600,2021 est.
173,"Bahamas, The",385400,2021 est.
174,Iceland,370000,2021 est.
175,Solomon Islands,255600,2021 est.
176,Belize,248000,2021 est.
177,Barbados,240800,2021 est.
178,New Caledonia,237800,2021 est.
179,Comoros,221400,2021 est.
180,French Polynesia,218100,2021 est.
181,Vanuatu,211200,2021 est.
182,Samoa,171600,2021 est.
183,Saint Lucia,140400,2021 est.
184,Guam,136850,2021 est.
185,Sao Tome and Principe,112200,2021 est.
186,Curacao,111956,2021 est.
187,Aruba,106800,2021 est.
188,Jersey,96038,2021 est.
189,Grenada,93600,2021 est.
190,Seychelles,90200,2021 est.
191,Antigua and Barbuda,89280,2021 est.
192,Saint Vincent and the Grenadines,85000,2021 est.
193,Andorra,74260,2021 est.
194,Tonga,73700,2021 est.
195,Kiribati,70200,2021 est.
196,Virgin Islands,67508,2022 est.
197,Bermuda,64000,2021 est.
198,Dominica,58320,2021 est.
199,Cayman Islands,55148,2021 est.
200,Guernsey,55069,2021 est.
201,Faroe Islands,51728,2021 est.
202,"Micronesia, Federated States of",44000,2021 est.
203,Sint Maarten,39089,2022 est.
204,Greenland,38920,2021 est.
205,Saint Kitts and Nevis,37920,2021 est.
206,Liechtenstein,37440,2021 est.
207,Turks and Caicos Islands,37008,2022 est.
208,Monaco,31820,2021 est.
209,Gibraltar,31152,2021 est.
210,San Marino,25500,2021 est.
211,British Virgin Islands,24087,2021 est.
212,Saint Martin,19284,2022 est.
213,American Samoa,18135,2021 est.
214,Marshall Islands,16254,2021 est.
215,Anguilla,13056,2021 est.
216,Northern Mariana Islands,12299,2021 est.
217,Cook Islands,11382,2021 est.
218,Nauru,10920,2021 est.
219,Tuvalu,7920,2021 est.
220,Saint Barthelemy,7077,2022 est.
221,Palau,6696,2021 est.
222,Wallis and Futuna,5496,2021 est.
223,Saint Pierre and Miquelon,5099,2022 est.
224,Antarctica,4400,2021 est.
225,Falkland Islands (Islas Malvinas),3762,2021 est.
226,Montserrat,2473,2021 est.
227,"Saint Helena, Ascension, and Tristan da Cunha",2287,2021 est.
228,Niue,1512,2021 est.
229,Christmas Island,1139,2021 est.
230,Norfolk Island,806,2021 est.
231,Tokelau,800,2021 est.
232,Holy See (Vatican City),383,2021 est.
233,Cocos (Keeling) Islands,80,2021 est.
234,Pitcairn Islands,37,2021 est.
