rank,country,labor_force,date_of_information
1,China,779246000,2023 est.
2,India,593729000,2023 est.
3,United States,170549000,2023 est.
4,Indonesia,140931000,2023 est.
5,Brazil,108695000,2023 est.
6,Pakistan,80990000,2023 est.
7,Nigeria,75721000,2023 est.
8,Bangladesh,74914000,2023 est.
9,Russia,72408000,2023 est.
10,Japan,69349000,2023 est.
11,Ethiopia,61664000,2023 est.
12,Mexico,60042000,2023 est.
13,Vietnam,56149000,2023 est.
14,Philippines,49477000,2023 est.
15,Germany,44784000,2023 est.
16,Thailand,40814000,2023 est.
17,"Congo, Democratic Republic of the",35983000,2023 est.
18,United Kingdom,35275000,2023 est.
19,Turkey (Turkiye),35071000,2023 est.
20,Egypt,33431000,2023 est.
21,France,31825000,2023 est.
22,Tanzania,31219000,2023 est.
23,"Korea, South",29611000,2023 est.
24,Iran,29159000,2023 est.
25,Colombia,26003000,2023 est.
26,Italy,25669000,2023 est.
27,Kenya,25502000,2023 est.
28,South Africa,25158000,2023 est.
29,Spain,24108000,2023 est.
30,Burma,22884000,2023 est.
31,Canada,22110000,2023 est.
32,Argentina,21906000,2023 est.
33,Ukraine,20312000,2021 est.
34,Uganda,18881000,2023 est.
35,Peru,18529000,2023 est.
36,Poland,18387000,2023 est.
37,Malaysia,17308000,2023 est.
38,Saudi Arabia,16934000,2023 est.
39,"Korea, North",15837000,2023 est.
40,Madagascar,15830000,2023 est.
41,Angola,15223000,2023 est.
42,Mozambique,15191000,2023 est.
43,Ghana,14887000,2023 est.
44,Australia,14501000,2023 est.
45,Uzbekistan,14270000,2023 est.
46,Sudan,13590000,2023 est.
47,Algeria,13425000,2023 est.
48,Morocco,12284000,2023 est.
49,Cameroon,11965000,2023 est.
50,Iraq,11812000,2023 est.
51,Venezuela,11548000,2023 est.
52,Taiwan,11498000,2020 est.
53,Cote d'Ivoire,10954000,2023 est.
54,Niger,10237000,2023 est.
55,Netherlands,9999000,2023 est.
56,Chile,9848000,2023 est.
57,Kazakhstan,9587000,2023 est.
58,Cambodia,9175000,2023 est.
59,Nepal,8937000,2023 est.
60,Afghanistan,8921000,2023 est.
61,Ecuador,8893000,2023 est.
62,Sri Lanka,8707000,2023 est.
63,Burkina Faso,8577000,2023 est.
64,Malawi,8366000,2023 est.
65,Romania,8282000,2023 est.
66,Mali,8277000,2023 est.
67,Guatemala,7258000,2023 est.
68,Zambia,7051000,2023 est.
69,Yemen,6883000,2023 est.
70,United Arab Emirates,6668000,2023 est.
71,Zimbabwe,6561000,2023 est.
72,Syria,6315000,2023 est.
73,Bolivia,6114000,2023 est.
74,Sweden,5825000,2023 est.
75,Chad,5806000,2023 est.
76,Burundi,5722000,2023 est.
77,Czechia,5502000,2023 est.
78,Azerbaijan,5473000,2023 est.
79,Belgium,5432000,2023 est.
80,Portugal,5419000,2023 est.
81,Cuba,5317000,2023 est.
82,Dominican Republic,5302000,2023 est.
83,Rwanda,5283000,2023 est.
84,Senegal,5257000,2023 est.
85,Haiti,5238000,2023 est.
86,Hungary,5006000,2023 est.
87,Switzerland,4991000,2023 est.
88,Benin,4964000,2023 est.
89,Belarus,4956000,2023 est.
90,Austria,4825000,2023 est.
91,Honduras,4676000,2023 est.
92,Greece,4645000,2023 est.
93,Israel,4554000,2023 est.
94,South Sudan,4471000,2023 est.
95,Tunisia,4445000,2023 est.
96,Guinea,4401000,2023 est.
97,Hong Kong,3825000,2023 est.
98,Singapore,3619000,2023 est.
99,Paraguay,3469000,2023 est.
100,Serbia,3333000,2023 est.
101,Somalia,3277000,2023 est.
102,Nicaragua,3264000,2023 est.
103,Papua New Guinea,3229000,2023 est.
104,Denmark,3180000,2023 est.
105,Laos,3174000,2023 est.
106,Togo,3166000,2023 est.
107,Bulgaria,3103000,2023 est.
108,Kyrgyzstan,3069000,2023 est.
109,New Zealand,3068000,2023 est.
110,Jordan,3063000,2023 est.
111,Norway,3009000,2023 est.
112,Sierra Leone,2913000,2023 est.
113,Finland,2880000,2023 est.
114,El Salvador,2870000,2023 est.
115,Slovakia,2823000,2023 est.
116,Ireland,2766000,2023 est.
117,Tajikistan,2677000,2023 est.
118,Liberia,2499000,2023 est.
