rank,country,life_expectancy_at_birth,date_of_information
1,Monaco,89.8,2024 est.
2,Singapore,86.7,2024 est.
3,Macau,85.3,2024 est.
4,Japan,85.2,2024 est.
5,Canada,84.2,2024 est.
6,San Marino,84.2,2024 est.
7,Hong Kong,84,2024 est.
8,Iceland,84,2024 est.
9,Switzerland,83.9,2024 est.
10,Andorra,83.8,2024 est.
11,Guernsey,83.6,2024 est.
12,Malta,83.6,2024 est.
13,Australia,83.5,2024 est.
14,Luxembourg,83.4,2024 est.
15,"Korea, South",83.4,2024 est.
16,Israel,83.1,2024 est.
17,Jersey,83,2024 est.
18,Spain,83,2024 est.
19,Italy,83,2024 est.
20,Liechtenstein,83,2024 est.
21,Sweden,82.9,2024 est.
22,Norway,82.9,2024 est.
23,New Zealand,82.9,2024 est.
24,Austria,82.7,2024 est.
25,France,82.6,2024 est.
26,Anguilla,82.6,2024 est.
27,Cayman Islands,82.5,2024 est.
28,Isle of Man,82.5,2024 est.
29,Bermuda,82.5,2024 est.
30,Belgium,82.3,2024 est.
31,Finland,82.2,2024 est.
32,Slovenia,82.2,2024 est.
33,United Kingdom,82.2,2024 est.
34,Puerto Rico,82.1,2024 est.
35,Denmark,82.1,2024 est.
36,Ireland,82,2024 est.
37,Portugal,81.9,2024 est.
38,Germany,81.9,2024 est.
39,Netherlands,81.9,2024 est.
40,Greece,81.9,2024 est.
41,Saint Pierre and Miquelon,81.8,2024 est.
42,Faroe Islands,81.7,2024 est.
43,Taiwan,81.6,2024 est.
44,Turks and Caicos Islands,81.3,2024 est.
45,Wallis and Futuna,81.1,2024 est.
46,Saint Martin,81,2024 est.
47,Saint Barthelemy,81,2024 est.
48,Gibraltar,80.9,2024 est.
49,United States,80.9,2024 est.
50,"Saint Helena, Ascension, and Tristan da Cunha",80.9,2024 est.
51,Virgin Islands,80.7,2024 est.
52,Bahrain,80.4,2024 est.
53,Qatar,80.3,2024 est.
54,Costa Rica,80.3,2024 est.
55,Chile,80.3,2024 est.
56,Cyprus,80.2,2024 est.
57,British Virgin Islands,80.1,2024 est.
58,Cuba,80.1,2024 est.
59,Curacao,79.9,2024 est.
60,United Arab Emirates,79.9,2024 est.
61,Albania,79.9,2024 est.
62,Sint Maarten,79.7,2024 est.
63,Kuwait,79.6,2024 est.
64,Saint Lucia,79.4,2024 est.
65,New Caledonia,79.3,2024 est.
66,Panama,79.2,2024 est.
67,Lebanon,79.2,2024 est.
68,Barbados,79,2024 est.
69,French Polynesia,78.9,2024 est.
70,Uruguay,78.9,2024 est.
71,Brunei,78.9,2024 est.
72,Argentina,78.8,2024 est.
73,Paraguay,78.8,2024 est.
74,Dominica,78.7,2024 est.
75,China,78.7,2024 est.
76,Czechia,78.6,2024 est.
77,Bosnia and Herzegovina,78.5,2024 est.
78,Aruba,78.5,2024 est.
79,Estonia,78.4,2024 est.
80,Antigua and Barbuda,78.3,2024 est.
81,Thailand,78.2,2024 est.
82,Montenegro,78.2,2024 est.
83,Guam,78,2024 est.
84,Tonga,78,2024 est.
85,Algeria,77.9,2024 est.
86,Croatia,77.7,2024 est.
87,Libya,77.7,2024 est.
88,Cook Islands,77.6,2024 est.
89,Saint Kitts and Nevis,77.6,2024 est.
90,Maldives,77.4,2024 est.
91,Oman,77.4,2024 est.
92,North Macedonia,77.3,2024 est.
93,Tunisia,77.3,2024 est.
94,Slovakia,77.2,2024 est.
95,Solomon Islands,77.2,2024 est.
96,Saint Vincent and the Grenadines,77.2,2024 est.
97,Saudi Arabia,77.2,2024 est.
98,Northern Mariana Islands,77.1,2024 est.
99,Romania,76.9,2024 est.
100,Sri Lanka,76.8,2024 est.
101,Poland,76.7,2024 est.
102,Armenia,76.7,2024 est.
103,Turkey (Turkiye),76.7,2024 est.
104,"Bahamas, The",76.7,2024 est.
105,Seychelles,76.6,2024 est.
106,Malaysia,76.6,2024 est.
107,Trinidad and Tobago,76.5,2024 est.
108,West Bank,76.5,2024 est.
109,Jordan,76.5,2024 est.
110,Latvia,76.4,2024 est.
111,Jamaica,76.3,2024 est.
112,Grenada,76.3,2024 est.
113,Brazil,76.3,2024 est.
114,Uzbekistan,76.2,2024 est.
115,Vietnam,76.1,2024 est.
116,Montserrat,76.1,2024 est.
117,Lithuania,76.1,2024 est.
118,Bulgaria,76.1,2024 est.
119,Hungary,76,2024 est.
120,Azerbaijan,75.9,2024 est.
121,El Salvador,75.9,2024 est.
122,American Samoa,75.8,2024 est.
123,Vanuatu,75.7,2024 est.
124,Samoa,75.7,2024 est.
125,Iran,75.6,2024 est.
126,Gaza Strip,75.5,2024 est.
127,Mauritius,75.4,2024 est.
128,Serbia,75.3,2024 est.
129,Bangladesh,75.2,2024 est.
130,Marshall Islands,75.2,2024 est.
131,Palau,75.2,2024 est.
132,Egypt,75,2024 est.
133,"Micronesia, Federated States of",75,2024 est.
134,Colombia,74.9,2024 est.
135,Ecuador,74.9,2024 est.
136,Fiji,74.8,2024 est.
137,Syria,74.8,2024 est.
138,Belarus,74.7,2024 est.
139,Nicaragua,74.7,2024 est.
140,Mexico,74.6,2024 est.
141,Greenland,74.5,2024 est.
142,Venezuela,74.5,2024 est.
143,Belize,74.3,2024 est.
144,Cabo Verde,74.3,2024 est.
145,Morocco,74.2,2024 est.
146,Iraq,73.7,2024 est.
147,Bhutan,73.7,2024 est.
148,Indonesia,73.6,2024 est.
149,Guatemala,73.5,2024 est.
150,"Korea, North",73.5,2024 est.
151,Kazakhstan,73.3,2024 est.
152,Honduras,73.1,2024 est.
153,Kosovo,73.1,2024 est.
154,Nepal,73,2024 est.
155,Malawi,73,2024 est.
156,"Congo, Republic of the",72.9,2024 est.
157,Kyrgyzstan,72.9,2024 est.
158,Georgia,72.8,2024 est.
159,Suriname,72.7,2024 est.
160,Dominican Republic,72.6,2024 est.
161,Bolivia,72.5,2024 est.
162,Turkmenistan,72.4,2024 est.
163,Guyana,72.4,2024 est.
164,Russia,72.3,2024 est.
165,Togo,72.1,2024 est.
166,South Africa,71.9,2024 est.
167,Tajikistan,71.9,2024 est.
168,Mongolia,71.9,2024 est.
169,Cambodia,71.4,2024 est.
170,Philippines,70.8,2024 est.
171,Tanzania,70.8,2024 est.
172,Senegal,70.6,2024 est.
173,Ukraine,70.5,2024 est.
174,Timor-Leste,70.5,2024 est.
175,Gabon,70.4,2024 est.
176,Kenya,70.4,2024 est.
177,Burma,70.3,2024 est.
178,Pakistan,70.3,2024 est.
179,Moldova,70.1,2024 est.
180,Ghana,70.1,2024 est.
181,Papua New Guinea,70.1,2024 est.
182,Uganda,69.7,2024 est.
183,Laos,69,2024 est.
184,Tuvalu,69,2024 est.
185,Peru,68.9,2024 est.
186,Madagascar,68.8,2024 est.
187,Nauru,68.6,2024 est.
188,Kiribati,68.5,2024 est.
189,"Gambia, The",68.4,2024 est.
190,India,68.2,2024 est.
191,Yemen,68.2,2024 est.
192,Burundi,68.1,2024 est.
193,Comoros,67.8,2024 est.
194,Sudan,67.8,2024 est.
195,Sao Tome and Principe,67.7,2024 est.
196,Ethiopia,67.7,2024 est.
197,Eritrea,67.5,2024 est.
198,Zimbabwe,67.2,2024 est.
199,Zambia,66.9,2024 est.
200,Rwanda,66.6,2024 est.
201,Botswana,66.4,2024 est.
202,Djibouti,65.9,2024 est.
203,Namibia,65.9,2024 est.
204,Mauritania,65.9,2024 est.
205,Haiti,65.6,2024 est.
206,Guinea,64.6,2024 est.
207,Guinea-Bissau,64.5,2024 est.
208,Burkina Faso,64.2,2024 est.
209,Cameroon,64.2,2024 est.
210,Equatorial Guinea,63.9,2024 est.
211,Mali,63.2,2024 est.
212,Cote d'Ivoire,63.2,2024 est.
213,Benin,63,2024 est.
214,Angola,62.9,2024 est.
215,"Congo, Democratic Republic of the",62.6,2024 est.
216,Nigeria,62.2,2024 est.
217,Liberia,61.6,2024 est.
218,Niger,60.9,2024 est.
219,Eswatini,60.7,2024 est.
220,South Sudan,60.3,2024 est.
221,Lesotho,60.2,2024 est.
222,Chad,60,2024 est.
223,Sierra Leone,59.4,2024 est.
224,Mozambique,58.3,2024 est.
225,Somalia,56.5,2024 est.
226,Central African Republic,56.4,2024 est.
227,Afghanistan,54.4,2024 est.
