rank,country,median_age,date_of_information
1,Monaco,56.9,2024 est.
2,Saint Pierre and Miquelon,51.2,2024 est.
3,Japan,49.9,2024 est.
4,Andorra,48.8,2024 est.
5,Italy,48.4,2024 est.
6,Saint Barthelemy,47.4,2024 est.
7,Hong Kong,47.2,2024 est.
8,Spain,46.8,2024 est.
9,Germany,46.8,2024 est.
10,Greece,46.5,2024 est.
11,Portugal,46.4,2024 est.
12,Slovenia,46.3,2024 est.
13,Puerto Rico,46.1,2024 est.
14,San Marino,46.1,2024 est.
15,"Korea, South",45.5,2024 est.
16,Romania,45.5,2024 est.
17,Latvia,45.5,2024 est.
18,Lithuania,45.1,2024 est.
19,Bulgaria,45.1,2024 est.
20,Croatia,45.1,2024 est.
21,"Saint Helena, Ascension, and Tristan da Cunha",45.1,2024 est.
22,Estonia,45,2024 est.
23,Guernsey,45,2024 est.
24,Austria,44.9,2024 est.
25,Ukraine,44.9,2024 est.
26,Isle of Man,44.9,2024 est.
27,Hungary,44.8,2024 est.
28,Bosnia and Herzegovina,44.8,2024 est.
29,Taiwan,44.6,2024 est.
30,Liechtenstein,44.2,2024 est.
31,Czechia,44.2,2024 est.
32,Switzerland,44.2,2024 est.
33,Serbia,43.9,2024 est.
34,Bermuda,43.8,2024 est.
35,Malta,43.5,2024 est.
36,Finland,43.3,2024 est.
37,Virgin Islands,43,2024 est.
38,Poland,42.9,2024 est.
39,Slovakia,42.8,2024 est.
40,Canada,42.6,2024 est.
41,France,42.6,2024 est.
42,Cuba,42.6,2024 est.
43,Macau,42.5,2024 est.
44,Netherlands,42.2,2024 est.
45,Denmark,42.2,2024 est.
46,Belarus,42.1,2024 est.
47,Belgium,42,2024 est.
48,Russia,41.9,2024 est.
49,Thailand,41.5,2024 est.
50,Barbados,41.4,2024 est.
51,Cayman Islands,41.2,2024 est.
52,Sweden,41.1,2024 est.
53,Cook Islands,41.1,2024 est.
54,Montenegro,41.1,2024 est.
55,Sint Maarten,41,2024 est.
56,Aruba,40.9,2024 est.
57,Norway,40.8,2024 est.
58,United Kingdom,40.8,2024 est.
59,North Macedonia,40.5,2024 est.
60,Ireland,40.2,2024 est.
61,China,40.2,2024 est.
62,Cocos (Keeling) Islands,40,2021 est.
63,Moldova,39.9,2024 est.
64,Luxembourg,39.9,2024 est.
