rank,country,obesity_adult_prevalence_rate,date_of_information
1,Nauru,61,2016 est.
2,Cook Islands,55.9,2016 est.
3,Palau,55.3,2016 est.
4,Marshall Islands,52.9,2016 est.
5,Tuvalu,51.6,2016 est.
6,Niue,50,2016 est.
7,Tonga,48.2,2016 est.
8,Samoa,47.3,2016 est.
9,Kiribati,46,2016 est.
10,"Micronesia, Federated States of",45.8,2016 est.
11,Kuwait,37.9,2016 est.
12,United States,36.2,2016 est.
13,Jordan,35.5,2016 est.
14,Saudi Arabia,35.4,2016 est.
15,Qatar,35.1,2016 est.
16,Libya,32.5,2016 est.
17,Turkey (Turkiye),32.1,2016 est.
18,Lebanon,32,2016 est.
19,Egypt,32,2016 est.
20,United Arab Emirates,31.7,2016 est.
21,"Bahamas, The",31.6,2016 est.
22,New Zealand,30.8,2016 est.
23,Iraq,30.4,2016 est.
24,Fiji,30.2,2016 est.
25,Bahrain,29.8,2016 est.
26,Canada,29.4,2016 est.
27,Australia,29,2016 est.
28,Mexico,28.9,2016 est.
29,Malta,28.9,2016 est.
30,South Africa,28.3,2016 est.
31,Argentina,28.3,2016 est.
32,Chile,28,2016 est.
33,Uruguay,27.9,2016 est.
34,Dominica,27.9,2016 est.
35,Syria,27.8,2016 est.
36,United Kingdom,27.8,2016 est.
37,Dominican Republic,27.6,2016 est.
38,Algeria,27.4,2016 est.
39,Oman,27,2016 est.
40,Tunisia,26.9,2016 est.
41,Suriname,26.4,2016 est.
42,Hungary,26.4,2016 est.
43,Lithuania,26.3,2016 est.
44,Morocco,26.1,2016 est.
45,Israel,26.1,2016 est.
46,Czechia,26,2016 est.
47,Iran,25.8,2016 est.
48,Costa Rica,25.7,2016 est.
49,Venezuela,25.6,2016 est.
50,Andorra,25.6,2016 est.
51,Ireland,25.3,2016 est.
52,Vanuatu,25.2,2016 est.
53,Bulgaria,25,2016 est.
54,Greece,24.9,2016 est.
55,Jamaica,24.7,2016 est.
56,Cuba,24.6,2016 est.
57,El Salvador,24.6,2016 est.
58,Belarus,24.5,2016 est.
59,Croatia,24.4,2016 est.
60,Belize,24.1,2016 est.
61,Ukraine,24.1,2016 est.
62,Spain,23.8,2016 est.
63,Nicaragua,23.7,2016 est.
64,Saint Vincent and the Grenadines,23.7,2016 est.
65,Latvia,23.6,2016 est.
66,Montenegro,23.3,2016 est.
67,Norway,23.1,2016 est.
68,Poland,23.1,2016 est.
69,Barbados,23.1,2016 est.
70,Russia,23.1,2016 est.
71,Saint Kitts and Nevis,22.9,2016 est.
72,Haiti,22.7,2016 est.
73,Panama,22.7,2016 est.
74,Luxembourg,22.6,2016 est.
75,Solomon Islands,22.5,2016 est.
76,Romania,22.5,2016 est.
77,North Macedonia,22.4,2016 est.
78,Colombia,22.3,2016 est.
79,Germany,22.3,2016 est.
80,Finland,22.2,2016 est.
81,Brazil,22.1,2016 est.
82,Belgium,22.1,2016 est.
83,Iceland,21.9,2016 est.
84,Cyprus,21.8,2016 est.
85,Georgia,21.7,2016 est.
86,Albania,21.7,2016 est.
87,France,21.6,2016 est.
88,Serbia,21.5,2016 est.
89,Honduras,21.4,2016 est.
90,Papua New Guinea,21.3,2016 est.
91,Grenada,21.3,2016 est.
92,Guatemala,21.2,2016 est.
93,Estonia,21.2,2016 est.
94,Kazakhstan,21,2016 est.
95,Portugal,20.8,2016 est.
96,Sweden,20.6,2016 est.
97,Mongolia,20.6,2016 est.
98,Slovakia,20.5,2016 est.
99,Netherlands,20.4,2016 est.
100,Paraguay,20.3,2016 est.
101,Armenia,20.2,2016 est.
102,Guyana,20.2,2016 est.
103,Bolivia,20.2,2016 est.
104,Slovenia,20.2,2016 est.
105,Austria,20.1,2016 est.
106,Ecuador,19.9,2016 est.
107,Azerbaijan,19.9,2016 est.
108,Italy,19.9,2016 est.
109,Denmark,19.7,2016 est.
110,Peru,19.7,2016 est.
111,Saint Lucia,19.7,2016 est.
112,Switzerland,19.5,2016 est.
113,Moldova,18.9,2016 est.
114,Botswana,18.9,2016 est.
115,Antigua and Barbuda,18.9,2016 est.
116,Turkmenistan,18.6,2016 est.
117,Trinidad and Tobago,18.6,2016 est.
118,Bosnia and Herzegovina,17.9,2016 est.
119,Namibia,17.2,2016 est.
120,Yemen,17.1,2016 est.
121,Lesotho,16.6,2016 est.
122,Kyrgyzstan,16.6,2016 est.
123,Uzbekistan,16.6,2016 est.
124,Eswatini,16.5,2016 est.
125,Malaysia,15.6,2016 est.
126,Zimbabwe,15.5,2016 est.
127,Gabon,15,2016 est.
128,Tajikistan,14.2,2016 est.
129,Brunei,14.1,2016 est.
130,Seychelles,14,2016 est.
131,Djibouti,13.5,2016 est.
132,Mauritania,12.7,2016 est.
133,Sao Tome and Principe,12.4,2016 est.
134,Cabo Verde,11.8,2016 est.
135,Cameroon,11.4,2016 est.
136,Ghana,10.9,2016 est.
137,Mauritius,10.8,2016 est.
138,"Gambia, The",10.3,2016 est.
139,Cote d'Ivoire,10.3,2016 est.
140,Thailand,10,2016 est.
141,Liberia,9.9,2016 est.
142,Benin,9.6,2016 est.
143,"Congo, Republic of the",9.6,2016 est.
144,Guinea-Bissau,9.5,2016 est.
145,Nigeria,8.9,2016 est.
146,Senegal,8.8,2016 est.
147,Sierra Leone,8.7,2016 est.
148,Pakistan,8.6,2016 est.
149,Maldives,8.6,2016 est.
150,Mali,8.6,2016 est.
151,Togo,8.4,2016 est.
152,Tanzania,8.4,2016 est.
153,Somalia,8.3,2016 est.
154,Angola,8.2,2016 est.
155,Zambia,8.1,2016 est.
156,Equatorial Guinea,8,2016 est.
157,Comoros,7.8,2016 est.
158,Guinea,7.7,2016 est.
159,Central African Republic,7.5,2016 est.
160,Mozambique,7.2,2016 est.
161,Kenya,7.1,2016 est.
162,Indonesia,6.9,2016 est.
163,"Korea, North",6.8,2016 est.
164,"Congo, Democratic Republic of the",6.7,2016 est.
165,Sudan,6.6,2014 est.
166,South Sudan,6.6,2014 est.
