rank,country,population_growth_rate,date_of_information
1,South Sudan,4.65,2024 est.
2,Niger,3.66,2024 est.
3,Angola,3.33,2024 est.
4,Benin,3.29,2024 est.
5,Equatorial Guinea,3.23,2024 est.
6,Uganda,3.18,2024 est.
7,"Congo, Democratic Republic of the",3.11,2024 est.
8,Chad,3.01,2024 est.
9,Mali,2.9,2024 est.
10,Zambia,2.83,2024 est.
11,Burundi,2.81,2024 est.
12,Guinea,2.74,2024 est.
13,Tanzania,2.72,2024 est.
14,Cameroon,2.71,2024 est.
15,Somalia,2.55,2024 est.
16,Sudan,2.55,2024 est.
17,Mozambique,2.54,2024 est.
18,Guinea-Bissau,2.54,2024 est.
19,Nigeria,2.52,2024 est.
20,Senegal,2.46,2024 est.
21,Togo,2.41,2024 est.
22,Burkina Faso,2.4,2024 est.
23,"Congo, Republic of the",2.38,2024 est.
24,Ukraine,2.38,2024 est.
25,Gabon,2.37,2024 est.
26,Ethiopia,2.37,2024 est.
27,Venezuela,2.34,2024 est.
28,Liberia,2.32,2024 est.
29,Sierra Leone,2.32,2024 est.
30,Papua New Guinea,2.26,2024 est.
31,Malawi,2.22,2024 est.
32,Afghanistan,2.22,2024 est.
33,Madagascar,2.18,2024 est.
34,"Gambia, The",2.16,2024 est.
35,Ghana,2.15,2024 est.
36,Cote d'Ivoire,2.13,2024 est.
37,West Bank,2.07,2024 est.
38,Kenya,2.06,2024 est.
39,Timor-Leste,2.04,2024 est.
40,Gaza Strip,2.02,2024 est.
41,Iraq,1.99,2024 est.
42,Tajikistan,1.92,2024 est.
43,Mauritania,1.92,2024 est.
44,Zimbabwe,1.91,2024 est.
45,Djibouti,1.89,2024 est.
46,Pakistan,1.86,2024 est.
47,British Virgin Islands,1.82,2024 est.
48,Yemen,1.78,2024 est.
49,Turks and Caicos Islands,1.77,2024 est.
50,Central African Republic,1.76,2024 est.
51,Cayman Islands,1.75,2024 est.
52,Oman,1.75,2024 est.
53,Anguilla,1.74,2024 est.
54,Namibia,1.72,2024 est.
55,Saudi Arabia,1.68,2024 est.
56,Syria,1.67,2024 est.
57,Solomon Islands,1.65,2024 est.
58,Rwanda,1.62,2024 est.
59,Israel,1.58,2024 est.
60,Philippines,1.56,2024 est.
61,Vanuatu,1.55,2024 est.
62,Algeria,1.54,2024 est.
63,Luxembourg,1.52,2024 est.
64,Guatemala,1.49,2024 est.
65,Egypt,1.49,2024 est.
66,Panama,1.48,2024 est.
67,Belize,1.47,2024 est.
68,Libya,1.44,2024 est.
69,Uzbekistan,1.43,2024 est.
70,Sao Tome and Principe,1.42,2024 est.
71,Brunei,1.4,2024 est.
72,Botswana,1.34,2024 est.
73,Comoros,1.3,2024 est.
74,Honduras,1.29,2024 est.
75,Laos,1.26,2024 est.
76,Marshall Islands,1.26,2024 est.
77,Haiti,1.23,2024 est.
78,Cabo Verde,1.16,2024 est.
79,Sint Maarten,1.15,2024 est.
80,New Caledonia,1.14,2024 est.
81,Australia,1.13,2024 est.
82,Eritrea,1.12,2024 est.
83,Antigua and Barbuda,1.11,2024 est.
84,Christmas Island,1.11,2014 est.
85,Kuwait,1.1,2024 est.
86,Paraguay,1.09,2024 est.
87,Aruba,1.08,2024 est.
88,"Bahamas, The",1.07,2024 est.
89,Suriname,1.07,2024 est.
90,South Africa,1.07,2024 est.
91,Kiribati,1,2024 est.
92,Bolivia,1,2024 est.
93,Cambodia,0.99,2024 est.
94,Malaysia,0.99,2024 est.
95,Cyprus,0.95,2024 est.
96,New Zealand,0.95,2024 est.
97,Nicaragua,0.95,2024 est.
98,Bhutan,0.95,2024 est.
99,Ecuador,0.94,2024 est.
100,Ireland,0.93,2024 est.
101,Turkmenistan,0.92,2024 est.
102,Vietnam,0.89,2024 est.
103,Bangladesh,0.89,2024 est.
104,Iran,0.88,2024 est.
105,Singapore,0.87,2024 est.
106,Kazakhstan,0.86,2024 est.
107,Iceland,0.85,2024 est.
108,Morocco,0.84,2024 est.
109,Bahrain,0.82,2024 est.
110,Argentina,0.79,2024 est.
111,Kyrgyzstan,0.79,2024 est.
112,Tuvalu,0.78,2024 est.
113,Mongolia,0.78,2024 est.
114,Jordan,0.78,2024 est.
115,Dominican Republic,0.76,2024 est.
116,Lesotho,0.76,2024 est.
117,Switzerland,0.75,2024 est.
118,Paracel Islands,0.75,2021 est.
119,Costa Rica,0.74,2024 est.
120,Indonesia,0.73,2024 est.
121,India,0.72,2024 est.
122,Mexico,0.72,2024 est.
123,Burma,0.71,2024 est.
124,Monaco,0.71,2024 est.
125,Canada,0.71,2024 est.
126,Qatar,0.71,2024 est.
127,Eswatini,0.7,2024 est.
128,Nepal,0.7,2024 est.
129,Liechtenstein,0.69,2024 est.
130,Kosovo,0.68,2024 est.
131,United States,0.67,2024 est.
132,Macau,0.67,2024 est.
133,French Polynesia,0.66,2024 est.
134,Samoa,0.65,2024 est.
135,Faroe Islands,0.63,2024 est.
136,Chile,0.61,2024 est.
137,Lebanon,0.61,2024 est.
138,Brazil,0.61,2024 est.
139,Turkey (Turkiye),0.61,2024 est.
140,United Arab Emirates,0.6,2024 est.
141,Montserrat,0.59,2024 est.
142,Norway,0.59,2024 est.
143,Tunisia,0.58,2024 est.
144,San Marino,0.57,2024 est.
145,Seychelles,0.56,2024 est.
146,Jersey,0.56,2024 est.
147,Saint Kitts and Nevis,0.56,2024 est.
148,Belgium,0.53,2024 est.
149,Sweden,0.51,2024 est.
150,Malta,0.51,2024 est.
151,Peru,0.48,2024 est.
152,Colombia,0.48,2024 est.
153,Isle of Man,0.45,2024 est.
154,United Kingdom,0.45,2024 est.
155,Denmark,0.44,2024 est.
156,Azerbaijan,0.43,2024 est.
157,Fiji,0.4,2024 est.
158,"Korea, North",0.4,2024 est.
159,Sri Lanka,0.39,2024 est.
160,Netherlands,0.39,2024 est.
161,Nauru,0.39,2024 est.
162,Palau,0.38,2024 est.
163,El Salvador,0.34,2024 est.
164,Guyana,0.32,2024 est.
165,Bermuda,0.3,2024 est.
166,Saint Martin,0.3,2024 est.
167,Austria,0.3,2024 est.
168,Curacao,0.28,2024 est.
169,Grenada,0.27,2024 est.
170,Uruguay,0.26,2024 est.
171,Saint Lucia,0.26,2024 est.
172,China,0.23,2024 est.
173,Barbados,0.23,2024 est.
174,Wallis and Futuna,0.22,2024 est.
175,"Korea, South",0.21,2024 est.
176,Guernsey,0.21,2024 est.
177,France,0.2,2024 est.
178,Finland,0.2,2024 est.
179,Gibraltar,0.17,2024 est.
180,Thailand,0.17,2024 est.
181,Albania,0.16,2024 est.
