rank,country,public_debt,date_of_information
1,Japan,216.21,2022 est.
2,Greece,203.29,2022 est.
3,Singapore,150.14,2021 est.
4,Lebanon,146.8,2017 est.
5,Barbados,146.46,2016 est.
6,United Kingdom,142.28,2022 est.
7,Italy,131.8,2017 est.
8,Eritrea,131.2,2017 est.
9,"Congo, Republic of the",130.8,2017 est.
10,Cabo Verde,125.8,2017 est.
11,Portugal,125.7,2017 est.
12,Sudan,121.6,2017 est.
13,Bahrain,115.52,2020 est.
14,Spain,111.43,2022 est.
15,Bhutan,111.01,2020 est.
16,United States,110.39,2022 est.
17,Jamaica,106.28,2020 est.
18,Egypt,103,2017 est.
19,Jordan,101.14,2022 est.
20,Belize,99,2017 est.
21,France,98.66,2022 est.
22,Cyprus,97.5,2017 est.
23,Mauritania,96.6,2017 est.
24,San Marino,95.12,2021 est.
25,Syria,94.8,2017 est.
26,Belgium,94.04,2022 est.
27,Sao Tome and Principe,88.4,2017 est.
28,"Gambia, The",88,2017 est.
29,Vanuatu,87.07,2021 est.
30,Antigua and Barbuda,86.8,2017 est.
31,Iceland,86.5,2022 est.
32,Aruba,86,2017 est.
33,Palau,85.24,2019 est.
34,Dominica,82.7,2017 est.
35,Albania,82.38,2021 est.
36,Zimbabwe,82.3,2017 est.
37,"Bahamas, The",82.16,2022 est.
38,Croatia,82.08,2022 est.
39,Brazil,79.1,2022 est.
40,Sri Lanka,79.1,2017 est.
41,Mozambique,78.62,2022 est.
42,Somalia,76.7,2017 est.
43,South Africa,76.55,2022 est.
44,Togo,75.7,2017 est.
45,Hungary,75.53,2022 est.
46,Austria,75.05,2022 est.
47,Yemen,74.5,2017 est.
48,Saint Vincent and the Grenadines,73.8,2017 est.
49,Slovenia,73.6,2017 est.
50,Israel,72.6,2020 est.
51,Ghana,71.8,2017 est.
52,Zambia,71.41,2021 est.
53,Costa Rica,71.11,2022 est.
54,Saint Lucia,70.7,2017 est.
55,Grenada,70.4,2017 est.
56,Tunisia,70.3,2017 est.
57,Colombia,70.14,2022 est.
58,Suriname,69.3,2017 est.
59,Mongolia,67.57,2021 est.
60,Montenegro,67.2,2017 est.
61,Pakistan,67,2017 est.
62,El Salvador,66.47,2021 est.
63,Morocco,65.1,2017 est.
64,Angola,65,2017 est.
65,Slovakia,64.51,2022 est.
66,Germany,63.9,2017 est.
67,Sierra Leone,63.9,2017 est.
68,Maldives,63.9,2017 est.
69,Laos,63.6,2017 est.
70,Seychelles,63.6,2017 est.
71,Saint Kitts and Nevis,62.9,2017 est.
72,Gabon,62.7,2017 est.
73,South Sudan,62.7,2017 est.
74,Burkina Faso,62.53,2022 est.
75,Serbia,62.5,2017 est.
76,Nauru,62,2017 est.
77,Canada,61.42,2022 est.
78,Finland,61.3,2017 est.
79,Thailand,60.35,2022 est.
80,Uruguay,60.28,2020 est.
81,Malaysia,60.27,2022 est.
82,Ukraine,58.72,2020 est.
83,Vietnam,58.5,2017 est.
84,Australia,57.97,2022 est.
85,Mauritius,57.96,2019 est.
