rank,country,real_gdp_purchasing_power_parity,date_of_information
1,China,$31227000000000,2023 est.
2,United States,$24662000000000,2023 est.
3,India,$13104000000000,2023 est.
4,Russia,$5816000000000,2023 est.
5,Japan,$5761000000000,2023 est.
6,Germany,$5230000000000,2023 est.
7,Brazil,$4016000000000,2023 est.
8,Indonesia,$3906000000000,2023 est.
9,France,$3764000000000,2023 est.
10,United Kingdom,$3700000000000,2023 est.
11,Italy,$3097000000000,2023 est.
12,Turkey (Turkiye),$2936000000000,2023 est.
13,Mexico,$2873000000000,2023 est.
14,"Korea, South",$2615000000000,2023 est.
15,Spain,$2242000000000,2023 est.
16,Canada,$2238000000000,2023 est.
17,Egypt,$1912000000000,2023 est.
18,Saudi Arabia,$1831000000000,2023 est.
19,Poland,$1616000000000,2023 est.
20,Australia,$1584000000000,2023 est.
21,Thailand,$1516000000000,2023 est.
22,Iran,$1440000000000,2023 est.
23,Bangladesh,$1413000000000,2023 est.
24,Vietnam,$1354000000000,2023 est.
25,Pakistan,$1347000000000,2023 est.
26,Nigeria,$1275000000000,2023 est.
27,Netherlands,$1240000000000,2023 est.
28,Argentina,$1235000000000,2023 est.
29,Malaysia,$1152000000000,2023 est.
30,Taiwan,$1143000000000,2019 est.
31,Philippines,$1138000000000,2023 est.
32,Colombia,$978024000000,2023 est.
33,South Africa,$862981000000,2023 est.
34,Romania,$772107000000,2023 est.
35,Singapore,$754758000000,2023 est.
36,Belgium,$751592000000,2023 est.
37,Switzerland,$733779000000,2023 est.
38,United Arab Emirates,$719733000000,2023 est.
39,Kazakhstan,$705520000000,2023 est.
40,Algeria,$699947000000,2023 est.
41,Sweden,$676353000000,2023 est.
42,Ireland,$608463000000,2023 est.
43,Austria,$590354000000,2023 est.
44,Chile,$579201000000,2023 est.
45,Iraq,$572939000000,2023 est.
46,Ukraine,$559981000000,2023 est.
47,Czechia,$519007000000,2023 est.
48,Peru,$517644000000,2023 est.
49,Norway,$499528000000,2023 est.
50,Hong Kong,$485559000000,2023 est.
51,Israel,$471030000000,2023 est.
52,Portugal,$439008000000,2023 est.
53,Denmark,$428385000000,2023 est.
54,Hungary,$388906000000,2023 est.
55,Greece,$375780000000,2023 est.
56,Ethiopia,$354604000000,2023 est.
57,Morocco,$337480000000,2023 est.
58,Finland,$321126000000,2023 est.
59,Uzbekistan,$319174000000,2023 est.
60,Kenya,$314063000000,2023 est.
61,Qatar,$304973000000,2022 est.
62,Burma,$290507000000,2023 est.
63,Sri Lanka,$287132000000,2023 est.
64,Venezuela,$269068000000,2018 est.
65,Angola,$265868000000,2023 est.
66,Dominican Republic,$261616000000,2023 est.
67,Ecuador,$260213000000,2023 est.
68,New Zealand,$254770000000,2023 est.
69,Belarus,$254407000000,2023 est.
70,Tanzania,$234050000000,2023 est.
71,Ghana,$229639000000,2023 est.
72,Guatemala,$223183000000,2023 est.
73,Kuwait,$219060000000,2023 est.
74,Azerbaijan,$215896000000,2023 est.
75,Bulgaria,$214061000000,2023 est.
76,Slovakia,$213053000000,2023 est.
77,Cote d'Ivoire,$202758000000,2023 est.
78,Oman,$185960000000,2023 est.
79,Serbia,$162213000000,2023 est.
80,Panama,$159867000000,2023 est.
81,Croatia,$159305000000,2023 est.
82,"Congo, Democratic Republic of the",$154012000000,2023 est.
83,Tunisia,$153637000000,2023 est.
84,Nepal,$144310000000,2023 est.
85,Cameroon,$138925000000,2023 est.
86,Puerto Rico,$137828000000,2023 est.
87,Cuba,$137000000000,2017 est.
88,Sudan,$136039000000,2023 est.
89,Uganda,$135668000000,2023 est.
90,Costa Rica,$134238000000,2023 est.
91,Lithuania,$132712000000,2023 est.
92,Libya,$121951000000,2023 est.
93,Bolivia,$119785000000,2023 est.
94,Paraguay,$108022000000,2023 est.
95,Jordan,$106806000000,2023 est.
96,Uruguay,$105096000000,2023 est.
97,Slovenia,$102036000000,2023 est.
98,Turkmenistan,$94790000000,2022 est.
99,Luxembourg,$88533000000,2023 est.
100,Cambodia,$85900000000,2023 est.
101,Bahrain,$85491000000,2023 est.
102,Georgia,$83656000000,2023 est.
103,Afghanistan,$80416000000,2022 est.
104,Senegal,$77382000000,2023 est.
105,Zambia,$76493000000,2023 est.
106,Yemen,$73630000000,2017 est.
107,El Salvador,$71957000000,2023 est.
108,Macau,$71837000000,2023 est.
109,Latvia,$71154000000,2023 est.
110,Honduras,$68854000000,2023 est.
111,Lebanon,$65818000000,2023 est.
112,Laos,$64173000000,2023 est.
113,Bosnia and Herzegovina,$63769000000,2023 est.
114,Syria,$62151000000,2021 est.
115,Zimbabwe,$58583000000,2023 est.
116,Armenia,$57728000000,2023 est.
117,Estonia,$57377000000,2023 est.
118,Mali,$57235000000,2023 est.
119,Burkina Faso,$57152000000,2023 est.
120,Guinea,$56655000000,2023 est.
121,Mongolia,$56264000000,2023 est.
122,Benin,$52510000000,2023 est.
123,Madagascar,$51255000000,2023 est.
124,Nicaragua,$51088000000,2023 est.
125,Mozambique,$50631000000,2023 est.
126,Albania,$49592000000,2023 est.
127,Gabon,$48201000000,2023 est.
128,Cyprus,$46976000000,2023 est.
129,Botswana,$46742000000,2023 est.
130,Tajikistan,$46467000000,2023 est.
131,Kyrgyzstan,$45461000000,2023 est.
132,Niger,$44561000000,2023 est.
133,Trinidad and Tobago,$43681000000,2023 est.
134,Papua New Guinea,$42900000000,2023 est.
135,Rwanda,$42701000000,2023 est.
136,North Macedonia,$42444000000,2023 est.
137,Guyana,$40539000000,2023 est.
138,"Korea, North",$40000000000,2015 est.
