rank,country,reserves_of_foreign_exchange_and_gold,date_of_information
1,China,$3223000000000,31 December 2019 est.
2,Japan,$1322000000000,31 December 2019 est.
3,Switzerland,$854929000000,31 December 2019 est.
4,Russia,$555179000000,31 December 2019 est.
5,United States,$516701000000,31 December 2019 est.
6,Saudi Arabia,$514963000000,31 December 2019 est.
7,India,$463470000000,31 December 2019 est.
8,Taiwan,$456700000000,31 December 2017 est.
9,Hong Kong,$441350000000,31 December 2019 est.
10,"Korea, South",$408819000000,31 December 2019 est.
11,Brazil,$356886000000,31 December 2019 est.
12,Singapore,$285478000000,31 December 2019 est.
13,Thailand,$224356000000,31 December 2019 est.
14,Germany,$224028000000,31 December 2019 est.
15,France,$189006000000,31 December 2019 est.
16,Mexico,$183056000000,31 December 2019 est.
17,Italy,$175398000000,31 December 2019 est.
18,United Kingdom,$173569000000,31 December 2019 est.
19,Czechia,$149856000000,31 December 2019 est.
20,Indonesia,$129186000000,31 December 2019 est.
21,Poland,$128392000000,31 December 2019 est.
22,Israel,$126008000000,31 December 2019 est.
23,Iran,$120600000000,31 December 2017 est.
24,United Arab Emirates,$108359000000,31 December 2019 est.
25,Turkey (Turkiye),$105620000000,31 December 2019 est.
26,Malaysia,$103630000000,31 December 2019 est.
27,Philippines,$89515000000,31 December 2019 est.
28,Canada,$85297000000,31 December 2019 est.
29,Libya,$84664000000,31 December 2019 est.
30,Vietnam,$78335000000,31 December 2019 est.
31,Spain,$74731000000,31 December 2019 est.
32,Algeria,$71796000000,31 December 2019 est.
33,Peru,$71394000000,2023 est.
34,Iraq,$68018000000,31 December 2019 est.
35,Norway,$66946000000,31 December 2019 est.
36,Denmark,$66836000000,31 December 2019 est.
37,Australia,$57995000000,31 December 2019 est.
38,Sweden,$55510000000,31 December 2019 est.
39,South Africa,$55056000000,31 December 2019 est.
40,Colombia,$52653000000,31 December 2019 est.
41,Lebanon,$52213000000,31 December 2019 est.
42,Argentina,$44881000000,31 December 2019 est.
43,Egypt,$44569000000,31 December 2019 est.
44,Kuwait,$43668000000,31 December 2019 est.
45,Netherlands,$43320000000,31 December 2019 est.
46,Romania,$42007000000,31 December 2019 est.
47,Chile,$40656000000,31 December 2019 est.
48,Qatar,$39718000000,31 December 2019 est.
49,Nigeria,$38336000000,31 December 2019 est.
50,Bangladesh,$32697000000,31 December 2019 est.
51,Hungary,$31831000000,31 December 2019 est.
52,Uzbekistan,$29291000000,31 December 2019 est.
53,Belgium,$28970000000,31 December 2019 est.
54,Kazakhstan,$28958000000,31 December 2019 est.
55,Bulgaria,$27902000000,31 December 2019 est.
56,Morocco,$26413000000,31 December 2019 est.
57,Ukraine,$25317000000,31 December 2019 est.
58,Portugal,$25003000000,31 December 2019 est.
59,Turkmenistan,$24910000000,31 December 2017 est.
60,Austria,$23616000000,31 December 2019 est.
61,Macau,$22215000000,31 December 2019 est.
62,Croatia,$20771000000,31 December 2019 est.
63,Mozambique,$20664000000,31 December 2019 est.
64,Cambodia,$18771000000,31 December 2019 est.
65,New Zealand,$17814000000,31 December 2019 est.
66,Oman,$16662000000,31 December 2019 est.
67,Pakistan,$16586000000,31 December 2019 est.
68,Angola,$16335000000,31 December 2019 est.
69,Jordan,$15560000000,31 December 2017 est.
70,Serbia,$14995000000,31 December 2019 est.
71,Guatemala,$14784000000,31 December 2019 est.
72,Uruguay,$14504000000,31 December 2019 est.
73,Finland,$11427000000,31 December 2019 est.
74,Cuba,$11350000000,31 December 2017 est.
75,Venezuela,$9794000000,2017 est.
76,Afghanistan,$9749000000,2020 est.
77,Belarus,$9394000000,31 December 2019 est.
78,Kenya,$9116000000,31 December 2019 est.
79,Costa Rica,$8937000000,31 December 2019 est.
80,Dominican Republic,$8871000000,31 December 2019 est.
81,Nepal,$8713000000,31 December 2019 est.
82,Greece,$8507000000,31 December 2019 est.
83,Tunisia,$7920000000,31 December 2019 est.
84,Paraguay,$7717000000,31 December 2019 est.
85,Burma,$7670000000,2020 est.
86,Mauritius,$7362000000,31 December 2019 est.
87,Bosnia and Herzegovina,$7208000000,31 December 2019 est.
88,Slovakia,$7169000000,31 December 2019 est.
89,Azerbaijan,$7043000000,31 December 2019 est.
90,Trinidad and Tobago,$6929000000,31 December 2019 est.
91,Iceland,$6782000000,31 December 2019 est.
92,Bolivia,$6455000000,31 December 2019 est.
93,Cote d'Ivoire,$6257000000,31 December 2017 est.
94,Botswana,$6170000000,31 December 2019 est.
95,Honduras,$5744000000,31 December 2019 est.
96,Ireland,$5733000000,31 December 2019 est.
97,Cameroon,$5133000000,2022 est.
98,Lithuania,$5085000000,31 December 2019 est.
