rank,country,revenue_from_forest_resources,date_of_information
1,Solomon Islands,20.27,2018 est.
2,Liberia,13.27,2018 est.
3,Burundi,10.31,2018 est.
4,Guinea-Bissau,9.24,2018 est.
5,Central African Republic,8.99,2018 est.
6,"Congo, Democratic Republic of the",8.72,2018 est.
7,Uganda,7.32,2018 est.
8,Sierra Leone,6.92,2018 est.
9,Mozambique,6.46,2018 est.
10,Malawi,6.19,2018 est.
11,Ethiopia,5.81,2018 est.
12,Guinea,4.81,2018 est.
13,Guyana,4.56,2018 est.
14,Burkina Faso,4.54,2018 est.
15,Zambia,4.45,2018 est.
16,Niger,4.41,2018 est.
17,Madagascar,4.34,2018 est.
18,Togo,3.96,2018 est.
19,Chad,3.81,2018 est.
20,Rwanda,3.75,2018 est.
21,Ghana,3.51,2018 est.
22,Lesotho,3.34,2018 est.
23,"Congo, Republic of the",3.17,2018 est.
24,Sudan,3.01,2018 est.
25,South Sudan,2.65,2015 est.
26,Gabon,2.6,2018 est.
27,Cameroon,2.5,2018 est.
28,"Gambia, The",2.47,2018 est.
29,Suriname,2.36,2018 est.
30,Eswatini,2.25,2018 est.
31,Benin,2.24,2018 est.
32,Tanzania,2.19,2018 est.
33,Papua New Guinea,2.08,2018 est.
34,Cote d'Ivoire,2.04,2016 est.
35,Mali,2.02,2018 est.
36,Sao Tome and Principe,1.9,2018 est.
37,Bhutan,1.89,2018 est.
38,Burma,1.69,2018 est.
39,Zimbabwe,1.61,2018 est.
40,Malaysia,1.57,2018 est.
41,Uruguay,1.56,2018 est.
42,Equatorial Guinea,1.52,2018 est.
43,Vietnam,1.49,2018 est.
44,Laos,1.48,2018 est.
45,Senegal,1.46,2018 est.
46,Comoros,1.39,2018 est.
47,Kenya,1.3,2018 est.
48,Mauritania,1.3,2018 est.
49,Nicaragua,1.26,2018 est.
50,Paraguay,1.21,2018 est.
51,Tajikistan,1.12,2018 est.
52,Belarus,1.02,2018 est.
53,Nigeria,1.02,2018 est.
54,Honduras,0.91,2018 est.
55,Latvia,0.85,2018 est.
56,Estonia,0.85,2018 est.
57,Cambodia,0.84,2018 est.
58,Costa Rica,0.82,2018 est.
59,Guatemala,0.78,2018 est.
60,Haiti,0.68,2018 est.
61,Brazil,0.62,2018 est.
62,El Salvador,0.6,2018 est.
63,Fiji,0.59,2018 est.
64,Vanuatu,0.54,2018 est.
65,New Zealand,0.5,2018 est.
66,Bosnia and Herzegovina,0.49,2018 est.
67,Chile,0.49,2018 est.
68,Namibia,0.47,2018 est.
69,Nepal,0.45,2018 est.
70,Montenegro,0.43,2018 est.
71,Indonesia,0.39,2018 est.
72,Cabo Verde,0.38,2018 est.
73,Serbia,0.38,2018 est.
74,Finland,0.36,2018 est.
75,Angola,0.36,2018 est.
76,Thailand,0.34,2018 est.
77,Ukraine,0.34,2018 est.
78,Bolivia,0.33,2018 est.
79,Belize,0.31,2018 est.
80,Lithuania,0.31,2018 est.
81,Russia,0.29,2018 est.
82,Armenia,0.28,2018 est.
83,Ecuador,0.27,2018 est.
84,Samoa,0.27,2018 est.
85,Djibouti,0.26,2018 est.
86,Moldova,0.26,2018 est.
87,Croatia,0.26,2018 est.
88,Botswana,0.23,2018 est.
89,Slovakia,0.22,2018 est.
90,Bulgaria,0.22,2018 est.
91,Sweden,0.21,2018 est.
92,Tunisia,0.21,2018 est.
93,Slovenia,0.2,2018 est.
94,Afghanistan,0.2,2018 est.
95,Albania,0.18,2018 est.
96,Philippines,0.18,2018 est.
97,Czechia,0.17,2017 est.
98,Poland,0.17,2018 est.
99,Romania,0.16,2018 est.
100,North Macedonia,0.15,2018 est.
101,Egypt,0.15,2018 est.
102,Jamaica,0.15,2018 est.
103,India,0.14,2018 est.
104,Mongolia,0.14,2018 est.
105,Australia,0.13,2018 est.
106,Timor-Leste,0.13,2018 est.
107,Morocco,0.13,2018 est.
108,Portugal,0.13,2018 est.
109,Peru,0.12,2018 est.
110,Colombia,0.1,2018 est.
111,Mexico,0.1,2018 est.
112,Hungary,0.1,2018 est.
113,Algeria,0.1,2018 est.
114,Pakistan,0.1,2018 est.
115,Argentina,0.09,2018 est.
116,Seychelles,0.09,2018 est.
117,China,0.08,2018 est.
118,Turkey (Turkiye),0.08,2018 est.
119,Canada,0.08,2018 est.
120,Bangladesh,0.08,2018 est.
121,Panama,0.08,2018 est.
122,Georgia,0.07,2018 est.
123,Austria,0.07,2018 est.
124,Libya,0.06,2018 est.
125,Cuba,0.06,2018 est.
126,Sri Lanka,0.06,2018 est.
127,Trinidad and Tobago,0.05,2018 est.
128,Norway,0.05,2018 est.
129,Brunei,0.05,2018 est.
130,Yemen,0.04,2018 est.
131,Kiribati,0.04,2018 est.
132,United States,0.04,2018 est.
133,Dominican Republic,0.03,2018 est.
134,Tonga,0.03,2018 est.
135,Dominica,0.03,2018 est.
136,France,0.03,2018 est.
137,Germany,0.03,2018 est.
138,Japan,0.02,2018 est.
139,Azerbaijan,0.02,2018 est.
140,Denmark,0.02,2018 est.
141,"Micronesia, Federated States of",0.02,2018 est.
142,Jordan,0.02,2018 est.
143,Belgium,0.02,2018 est.
144,Spain,0.02,2018 est.
145,Saint Vincent and the Grenadines,0.02,2018 est.
146,Kyrgyzstan,0.01,2018 est.
147,"Bahamas, The",0.01,2018 est.
148,"Korea, South",0.01,2018 est.
149,Greece,0.01,2018 est.
150,Italy,0.01,2018 est.
151,Switzerland,0.01,2018 est.
152,Iran,0.01,2017 est.
153,Saint Lucia,0.01,2018 est.
154,United Kingdom,0.01,2018 est.
155,Luxembourg,0.01,2018 est.
156,Netherlands,0.01,2018 est.
157,Ireland,0.01,2018 est.
158,Barbados,0.01,2018 est.
159,United Arab Emirates,0,2018 est.
160,Bahrain,0,2018 est.
161,Grenada,0,2018 est.
162,Kazakhstan,0,2018 est.
163,Antigua and Barbuda,0,2018 est.
164,Iceland,0,2018 est.
165,Kosovo,0,2018 est.
166,Turks and Caicos Islands,0,2018 est.
167,American Samoa,0,2018 est.
168,Tuvalu,0,2018 est.
169,Palau,0,2018 est.
170,San Marino,0,2018 est.
171,Mauritius,0,2018 est.
172,Nauru,0,2018 est.
173,Qatar,0,2018 est.
174,Oman,0,2018 est.
175,Israel,0,2018 est.
176,Uzbekistan,0,2018 est.
177,Northern Mariana Islands,0,2018 est.
178,Saudi Arabia,0,2018 est.
179,Hong Kong,0,2018 est.
180,Turkmenistan,0,2018 est.
181,Isle of Man,0,2017 est.
182,Curacao,0,2018 est.
183,Maldives,0,2018 est.
184,Liechtenstein,0,2017 est.
185,Lebanon,0,2018 est.
186,Puerto Rico,0,2018 est.
187,Marshall Islands,0,2018 est.
188,Iraq,0,2018 est.
189,West Bank,0,2018 est.
190,Singapore,0,2018 est.
191,Andorra,0,2018 est.
192,Malta,0,2018 est.
193,Saint Kitts and Nevis,0,2018 est.
194,Cyprus,0,2018 est.
195,Kuwait,0,2018 est.
196,Monaco,0,2018 est.
197,Gaza Strip,0,2018 est.
198,Greenland,0,2018 est.
199,Cayman Islands,0,2018 est.
200,Guam,0,2018 est.
201,Faroe Islands,0,2017 est.
202,Aruba,0,2017 est.
203,Virgin Islands,0,2017 est.
204,Macau,0,2018 est.
