rank,country,taxes_and_other_revenues,date_of_information
1,Greenland,77.4,2016 est.
2,Andorra,69,2016 est.
3,Cuba,58.1,2017 est.
4,Libya,51.6,2017 est.
5,Anguilla,46.7,2017 est.
6,Nauru,44.35,2020 est.
7,Venezuela,44.2,2017 est.
8,Kuwait,41.8,2017 est.
9,Dominica,40.9,2017 est.
10,Bolivia,39.9,2017 est.
11,Cayman Islands,38.9,2017 est.
12,British Virgin Islands,38.9,2017 est.
13,American Samoa,37.8,2016 est.
14,Montenegro,37.2,2017 est.
15,Djibouti,35.3,2017 est.
16,Japan,35.2,2017 est.
17,Eritrea,34.9,2017 est.
18,Algeria,32.3,2017 est.
19,Northern Mariana Islands,31.4,2016 est.
20,Lesotho,31.31,2022 est.
21,Oman,31.3,2017 est.
22,Norway,31.27,2022 est.
23,Denmark,30.56,2022 est.
24,Faroe Islands,30.2,2014 est.
25,New Zealand,29.93,2022 est.
26,Kosovo,29,2017 est.
27,Virgin Islands,28.9,2016 est.
28,Guyana,28.1,2017 est.
29,Greece,27.81,2022 est.
30,Mauritania,27.4,2017 est.
31,Barbados,27.39,2016 est.
32,United Kingdom,27.3,2022 est.
33,Namibia,27.17,2022 est.
34,Sweden,27.11,2022 est.
35,Qatar,26.4,2017 est.
36,Austria,26.24,2022 est.
37,Sao Tome and Principe,26.2,2017 est.
38,Seychelles,26.18,2020 est.
39,South Africa,26.11,2022 est.
40,Luxembourg,25.97,2022 est.
41,Grenada,25.8,2017 est.
42,Jamaica,25.71,2020 est.
43,Comoros,25.3,2017 est.
44,Aruba,25.2,2017 est.
45,Serbia,25.11,2022 est.
46,Samoa,25.02,2021 est.
47,Israel,25.01,2022 est.
48,Italy,24.92,2022 est.
49,Vietnam,24.8,2017 est.
50,Cyprus,24.71,2022 est.
51,Tunisia,24.7,2017 est.
52,France,24.62,2022 est.
53,Eswatini,24.13,2021 est.
54,Netherlands,24.11,2022 est.
55,Saint Vincent and the Grenadines,23.8,2017 est.
56,Australia,23.6,2022 est.
57,Hungary,23.43,2022 est.
58,Malta,23.37,2022 est.
59,Mozambique,23.25,2022 est.
60,Hong Kong,23.2,2017 est.
61,Belgium,23.09,2022 est.
62,Portugal,23.05,2022 est.
63,Georgia,22.9,2022 est.
64,Latvia,22.79,2022 est.
65,Iceland,22.52,2022 est.
66,Morocco,22.12,2022 est.
67,Armenia,21.83,2022 est.
68,Bulgaria,21.8,2022 est.
69,Timor-Leste,21.67,2022 est.
70,Gaza Strip,21.47,2021 est.
71,West Bank,21.47,2021 est.
72,Croatia,21.41,2022 est.
73,Niger,21.4,2017 est.
74,Guam,21.4,2016 est.
75,Belize,21.34,2017 est.
76,Tonga,21.3,2020 est.
77,Chile,21.27,2022 est.
78,Lithuania,21.1,2022 est.
79,Finland,21.08,2022 est.
80,Estonia,21.01,2022 est.
81,Solomon Islands,20.67,2022 est.
82,New Caledonia,20.4,2015 est.
83,"Gambia, The",20.3,2017 est.
84,Kiribati,20.22,2022 est.
85,Nicaragua,19.84,2022 est.
86,El Salvador,19.69,2021 est.
87,Botswana,19.65,2022 est.
88,Antigua and Barbuda,19.6,2017 est.
89,Kyrgyzstan,19.54,2022 est.
90,Slovakia,19.5,2022 est.
91,Maldives,19.45,2021 est.
92,Bosnia and Herzegovina,19.09,2022 est.
93,Mauritius,19.05,2022 est.
94,Moldova,18.94,2022 est.
95,Senegal,18.7,2022 est.
96,Uruguay,18.51,2020 est.
97,Brunei,18.5,2017 est.
98,"Korea, South",18.44,2022 est.
99,Cabo Verde,18.39,2020 est.
100,Saint Lucia,18.23,2017 est.
101,Haiti,18.2,2017 est.
102,Albania,18.2,2021 est.
103,Slovenia,18.14,2022 est.
