rank,country,telephones_fixed_lines,date_of_information
1,China,179414000,2022 est.
2,United States,91623000,2022 est.
3,Japan,60721000,2022 est.
4,Germany,38580000,2022 est.
5,France,37740000,2022 est.
6,United Kingdom,29798000,2022 est.
7,Iran,29342000,2022 est.
8,India,27450000,2022 est.
9,Brazil,27258000,2022 est.
10,Mexico,27185000,2022 est.
11,Russia,23864000,2021 est.
12,"Korea, South",22810000,2022 est.
13,Italy,19982000,2022 est.
14,Spain,18687000,2022 est.
15,Egypt,11600000,2022 est.
16,Canada,11312000,2022 est.
17,Turkey (Turkiye),11198000,2022 est.
18,Taiwan,10000000,2023 est.
19,Malaysia,8453000,2022 est.
20,Indonesia,8424000,2022 est.
21,Argentina,7615000,2022 est.
22,Colombia,7588000,2022 est.
23,Saudi Arabia,6773000,2022 est.
24,Australia,6409000,2022 est.
25,Uzbekistan,5686000,2022 est.
26,Algeria,5576000,2022 est.
27,Portugal,5437000,2022 est.
28,Poland,5277000,2022 est.
29,Greece,4907000,2022 est.
30,Philippines,4885000,2022 est.
31,Netherlands,4570000,2022 est.
32,Thailand,4368000,2022 est.
33,Belarus,4230000,2022 est.
34,Hong Kong,3673000,2022 est.
35,Israel,3574000,2022 est.
36,Austria,3544000,2022 est.
37,Venezuela,3147000,2022 est.
38,Belgium,2953000,2022 est.
39,Switzerland,2919000,2022 est.
40,Kazakhstan,2888000,2022 est.
41,Hungary,2845000,2022 est.
42,Syria,2821000,2021 est.
43,Pakistan,2799000,2022 est.
44,Morocco,2645000,2022 est.
45,Sri Lanka,2582000,2022 est.
46,Serbia,2539000,2022 est.
47,Iraq,2392000,2022 est.
48,Vietnam,2391000,2022 est.
49,United Arab Emirates,2286000,2022 est.
50,Romania,2222000,2022 est.
51,Chile,2217000,2022 est.
52,Guatemala,1918000,2022 est.
53,Singapore,1906000,2022 est.
54,Peru,1798000,2022 est.
55,Tunisia,1790000,2022 est.
56,Ukraine,1739000,2022 est.
57,Ecuador,1644000,2022 est.
58,Azerbaijan,1641000,2022 est.
59,Cuba,1574000,2022 est.
60,Ireland,1498000,2022 est.
61,South Africa,1310000,2022 est.
62,Laos,1300000,2021 est.
63,Sweden,1261000,2021 est.
64,Uruguay,1259000,2022 est.
65,Yemen,1240000,2021 est.
66,Croatia,1235000,2022 est.
67,Libya,1218000,2022 est.
68,Czechia,1214000,2022 est.
69,"Korea, North",1180000,2021 est.
70,Dominican Republic,1144000,2022 est.
71,Moldova,951000,2022 est.
72,Cameroon,929000,2022 est.
73,Lebanon,875000,2021 est.
74,El Salvador,863000,2022 est.
75,Ethiopia,862000,2022 est.
76,Panama,811000,2022 est.
77,Turkmenistan,802000,2021 est.
78,New Zealand,757000,2022 est.
79,Puerto Rico,739000,2022 est.
