rank,country,telephones_mobile_cellular,date_of_information
1,China,1781000000,2022 est.
2,India,1143000000,2022 est.
3,United States,372682000,2022 est.
4,Indonesia,316553000,2022 est.
5,Russia,245267000,2022 est.
6,Nigeria,222225000,2022 est.
7,Brazil,212926000,2022 est.
8,Japan,207648000,2022 est.
9,Pakistan,192780000,2022 est.
10,Bangladesh,180198000,2022 est.
11,Philippines,166454000,2022 est.
12,Iran,145668000,2022 est.
13,Vietnam,137412000,2022 est.
14,Mexico,127872000,2022 est.
15,Thailand,126414000,2022 est.
16,Germany,104400000,2022 est.
17,Egypt,103450000,2022 est.
18,South Africa,100260000,2022 est.
19,Turkey (Turkiye),90298000,2022 est.
20,United Kingdom,81564000,2022 est.
21,Colombia,80812000,2022 est.
22,Italy,78503000,2022 est.
23,"Korea, South",76992000,2022 est.
24,France,76807000,2022 est.
25,Ethiopia,69123000,2022 est.
26,Kenya,65737000,2022 est.
27,Argentina,60236000,2022 est.
28,Tanzania,60192000,2022 est.
29,Spain,59020000,2022 est.
30,Burma,57807000,2022 est.
31,Morocco,52959000,2022 est.
32,Poland,52589000,2022 est.
33,"Congo, Democratic Republic of the",49844000,2022 est.
34,Ukraine,49304000,2022 est.
35,Algeria,49019000,2022 est.
36,Cote d'Ivoire,49006000,2022 est.
37,Saudi Arabia,48198000,2022 est.
38,Malaysia,47952000,2022 est.
39,Iraq,43688000,2022 est.
40,Peru,41549000,2022 est.
41,Ghana,40045000,2022 est.
42,Nepal,38213000,2021 est.
43,Uzbekistan,35690000,2022 est.
44,Canada,35082000,2022 est.
45,Sudan,34671000,2022 est.
46,Uganda,33068000,2022 est.
47,Sri Lanka,31237000,2022 est.
48,Taiwan,30000000,2023 est.
49,Australia,28018000,2022 est.
50,Chile,26415000,2022 est.
51,Mali,25869000,2022 est.
52,Kazakhstan,25299000,2022 est.
53,Burkina Faso,24678000,2021 est.
54,Angola,23978000,2022 est.
55,Romania,23219000,2022 est.
56,Cameroon,23107000,2022 est.
57,Afghanistan,22678000,2021 est.
58,Hong Kong,21861000,2022 est.
59,Senegal,20855000,2022 est.
60,Madagascar,20783000,2022 est.
61,Netherlands,20737000,2022 est.
62,Guatemala,20553000,2022 est.
63,United Arab Emirates,20036000,2022 est.
64,Zambia,19838000,2022 est.
65,Cambodia,19505000,2022 est.
66,Venezuela,17949000,2022 est.
67,Ecuador,17491000,2022 est.
68,Syria,16991000,2021 est.
69,Tunisia,15971000,2022 est.
70,Yemen,15178000,2021 est.
71,Benin,14550000,2022 est.
72,Zimbabwe,14301000,2022 est.
73,Niger,14239000,2021 est.
74,Libya,13940000,2022 est.
75,Mozambique,13871000,2022 est.
76,Guinea,13795000,2021 est.
77,Israel,13758000,2022 est.
78,Czechia,13475000,2022 est.
79,Sweden,13194000,2022 est.
80,Portugal,12792000,2022 est.
81,Malawi,12269000,2022 est.
82,Chad,12087000,2022 est.
83,Bolivia,12034000,2021 est.
84,Belgium,11874000,2022 est.
85,Belarus,11771000,2022 est.
86,Tajikistan,11584000,2021 est.
87,El Salvador,11509000,2022 est.
88,Greece,11326000,2022 est.
89,Azerbaijan,11068000,2022 est.
90,Austria,11035000,2022 est.
91,Rwanda,11002000,2022 est.
92,Switzerland,10450000,2022 est.
93,Hungary,10372000,2022 est.
94,Dominican Republic,10150000,2022 est.
95,Singapore,9351000,2022 est.
96,Somalia,8844000,2022 est.
97,Paraguay,8659000,2022 est.
98,Serbia,8621000,2022 est.
99,Kyrgyzstan,8511000,2021 est.
100,Sierra Leone,8227000,2021 est.
101,Bulgaria,7964000,2022 est.
102,Honduras,7937000,2022 est.
103,Costa Rica,7876000,2022 est.
104,Kuwait,7726000,2022 est.
105,Jordan,7626000,2022 est.
106,Cuba,7600000,2022 est.
107,Burundi,7471000,2022 est.
108,Slovakia,7445000,2022 est.
109,Denmark,7444000,2022 est.
110,Haiti,7319000,2021 est.
111,Finland,7130000,2022 est.
112,Panama,6891000,2022 est.
113,Oman,6750000,2022 est.
114,Nicaragua,6652000,2021 est.
115,Togo,6564000,2022 est.
116,Turkmenistan,6255000,2021 est.
117,Norway,6015000,2022 est.
118,"Korea, North",6000000,2021 est.
119,New Zealand,5947000,2022 est.
120,Georgia,5844000,2022 est.
121,Ireland,5690000,2022 est.
122,"Congo, Republic of the",5648000,2021 est.
123,Mauritania,5358000,2022 est.
124,Mongolia,4836000,2022 est.
125,Laos,4823000,2021 est.
126,Papua New Guinea,4818000,2021 est.
127,Uruguay,4741000,2022 est.
128,Qatar,4693000,2022 est.
129,Croatia,4480000,2022 est.
130,West Bank,4388000,2022 est.
131,Gaza Strip,4388000,2022 est.
132,Botswana,4348000,2022 est.
133,Lebanon,4288000,2021 est.
