rank,country,waterways,date_of_information
1,Russia,102000,2009 est.
2,Brazil,50000,2012 est.
3,Vietnam,47130,2011 est.
4,Kazakhstan,43983,2020 est.
5,United States,41009,2012 est.
6,China,27700,2020 est.
7,Colombia,24725,2019 est.
8,Indonesia,21579,2011 est.
9,"Congo, Democratic Republic of the",15000,2011 est.
10,India,14500,2012 est.
11,Burma,12800,2011 est.
12,Chad,12400,2022 est.
13,Argentina,11000,2012 est.
14,Papua New Guinea,11000,2011 est.
15,Bolivia,10000,2012 est.
16,Peru,8808,2011 est.
17,Nigeria,8600,2011 est.
18,Bangladesh,8370,2011 est.
19,Finland,8000,2013 est.
20,Germany,7300,2022 est.
21,Malaysia,7200,2011 est.
22,Venezuela,7100,2011 est.
23,Netherlands,6237,2012 est.
24,Iraq,5279,2012 est.
25,Croatia,4714,2022 est.
26,Laos,4600,2012 est.
27,Sudan,4068,2011 est.
28,Thailand,4000,2011 est.
29,Poland,3997,2009 est.
30,Cambodia,3700,2012 est.
31,Egypt,3500,2018 est.
32,Philippines,3219,2011 est.
33,United Kingdom,3200,2009 est.
34,Paraguay,3100,2012 est.
35,Mexico,2900,2012 est.
36,Central African Republic,2800,2011 est.
37,Belarus,2500,2011 est.
38,Italy,2400,2012 est.
39,Zambia,2250,2010 est.
40,"Korea, North",2250,2011 est.
41,Nicaragua,2220,2011 est.
42,Sweden,2052,2010 est.
43,Belgium,2043,2012 est.
44,Australia,2000,2011 est.
45,Mali,1800,2011 est.
46,Japan,1770,2010 est.
47,Romania,1731,2010 est.
48,Ukraine,1672,2012 est.
49,Hungary,1622,2011 est.
50,Uruguay,1600,2011 est.
51,Gabon,1600,2010 est.
52,"Korea, South",1600,2011 est.
53,Tanzania,1594,2022 est.
54,Norway,1577,2010 est.
55,Ecuador,1500,2012 est.
56,Guinea-Bissau,1367,2022 est.
57,Angola,1300,2011 est.
58,Guinea,1300,2011 est.
59,Turkmenistan,1300,2011 est.
60,Ghana,1293,2011 est.
61,Switzerland,1292,2010 est.
62,Turkey (Turkiye),1200,2010 est.
63,Suriname,1200,2011 est.
64,Afghanistan,1200,2011 est.
65,"Congo, Republic of the",1120,2011 est.
66,Uzbekistan,1100,2012 est.
67,Mauritania,1086,2022 est.
68,Senegal,1000,2012 est.
69,Spain,1000,2012 est.
70,Bosnia and Herzegovina,990,2022 est.
71,Guatemala,990,2012 est.
72,Cote d'Ivoire,980,2011 est.
73,Ireland,956,2010 est.
74,Uganda,907,2022 est.
75,Syria,900,2011 est.
76,Iran,850,2012 est.
77,Belize,825,2011 est.
78,Panama,800,2011 est.
79,Sierra Leone,800,2011 est.
80,Costa Rica,730,2011 est.
81,Slovenia,710,2022 est.
82,Malawi,700,2010 est.
83,Burundi,673,2022 est.
84,Czechia,664,2010 est.
85,Canada,636,2011 est.
86,Madagascar,600,2011 est.
87,Serbia,587,2009 est.
88,Mongolia,580,2010 est.
89,Kyrgyzstan,576,2022 est.
90,Niger,563,2024 est.
91,Moldova,558,2011 est.
92,Bulgaria,470,2009 est.
93,Honduras,465,2012 est.
94,Mozambique,460,2010 est.
95,Lithuania,441,2007 est.
96,El Salvador,422,2022 est.
97,Denmark,400,2010 est.
98,"Gambia, The",390,2010 est.
99,Austria,358,2011 est.
100,Estonia,335,2011 est.
101,Guyana,330,2012 est.
102,Latvia,300,2010 est.
103,Cuba,240,2011 est.
104,Zimbabwe,223,2022 est.
105,Portugal,210,2011 est.
106,Brunei,209,2012 est.
107,Fiji,203,2012 est.
108,Tajikistan,200,2011 est.
109,Slovakia,172,2012 est.
110,Sri Lanka,160,2012 est.
111,Benin,150,2011 est.
112,Rwanda,90,2022 est.
113,Togo,50,2011 est.
114,Albania,41,2011 est.
115,Luxembourg,37,2010 est.
116,Liechtenstein,28,2010 est.
117,Greece,6,2012 est.
118,Kiribati,5,2012 est.
