rank,country,youth_unemployment_rate_ages_15_24,date_of_information
1,Djibouti,76.5,2023 est.
2,Eswatini,65,2023 est.
3,Libya,49.4,2023 est.
4,South Africa,49.1,2023 est.
5,Kosovo,48.8,2020 est.
6,Botswana,45.4,2023 est.
7,Saint Vincent and the Grenadines,42.3,2023 est.
8,Curacao,42.2,2020 est.
9,"Congo, Republic of the",41.2,2023 est.
10,Jordan,40.8,2023 est.
11,Namibia,38,2023 est.
12,Tunisia,37.5,2023 est.
13,French Polynesia,37.3,2023 est.
14,Haiti,36.8,2023 est.
15,Gabon,36.5,2023 est.
16,West Bank,36,2022 est.
17,Gaza Strip,36,2022 est.
18,Somalia,34.3,2023 est.
19,Syria,33.5,2023 est.
20,Yemen,32.7,2023 est.
21,New Caledonia,32.6,2023 est.
22,Iraq,32.2,2023 est.
23,Algeria,30.8,2023 est.
24,Georgia,30.2,2023 est.
25,Bermuda,29.3,2014 est.
26,Bhutan,29.2,2023 est.
27,Cabo Verde,28.7,2023 est.
28,Spain,28.7,2023 est.
29,North Macedonia,28.6,2023 est.
30,Angola,28.2,2023 est.
31,Saint Lucia,28.2,2023 est.
32,Albania,28.2,2023 est.
33,Montenegro,27.9,2023 est.
34,San Marino,27.4,2016 est.
35,Greece,26.6,2023 est.
36,Monaco,26.6,2016 est.
37,Bosnia and Herzegovina,26.5,2023 est.
38,Uruguay,26.2,2023 est.
39,Marshall Islands,26,2019 est.
40,Guyana,25.9,2023 est.
41,Virgin Islands,25.6,2023 est.
42,Suriname,25.3,2023 est.
43,Sri Lanka,25.3,2023 est.
44,Barbados,24.9,2023 est.
45,Lesotho,24.8,2023 est.
46,Serbia,24.3,2023 est.
47,Costa Rica,24.1,2023 est.
48,Mauritania,23.7,2023 est.
49,Lebanon,23.7,2023 est.
50,"Bahamas, The",23.6,2023 est.
51,Iran,22.8,2023 est.
52,Italy,22.7,2023 est.
53,Morocco,22.6,2023 est.
54,Kiribati,22.5,2019 est.
55,Rwanda,22,2023 est.
56,Chile,22,2023 est.
57,Sweden,21.6,2023 est.
58,Romania,21.3,2023 est.
59,Sao Tome and Principe,21.1,2023 est.
60,Mauritius,20.9,2023 est.
61,Tuvalu,20.6,2016 est.
62,Nepal,20.4,2023 est.
63,Portugal,20.2,2023 est.
64,Samoa,19.8,2023 est.
